end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00008,15,109521,1.00008,786366000.0,98304000,0,853,13538324
2.00008,15,110145,0.999997,996150000.0,124518400,1.00008,0,13618856
3.00008,15,111801,0.999999,996148000.0,124518400,2.00008,0,13887296
4.00009,15,117568,1.00001,985648000.0,123207680,3.00008,0,14665772
5.00009,15,127077,0.999993,985668000.0,123207680,4.00009,0,15891648
6.00009,15,139471,1.00001,996139000.0,124518400,5.00009,0,17475444
7.00008,15,153951,0.999985,985676000.0,123207680,6.00009,0,19336628
8.00008,15,79410,1,996146000.0,124518400,7.00008,15,9824904
9.00008,15,80948,0.999999,985662000.0,123207680,8.00008,0,10066500
10.0001,15,87663,1,985661000.0,123207680,9.00008,0,10952352
11.0001,15,98825,1.00001,996133000.0,124518400,10.0001,0,12384032
12.0001,15,112952,1,985661440,123207680,11.0001,0,14200476
13.0001,15,129298,0.999986,985675000.0,123207680,12.0001,0,16294308
14.0001,15,147496,1,996146000.0,124518400,13.0001,0,18584996
15.0001,15,79193,0.999997,985664000.0,123207680,14.0001,19,9807008
16.0001,15,80041,1.00002,996131000.0,124518400,15.0001,0,9941228
17.0001,15,85072,0.999987,985674000.0,123207680,16.0001,0,10603380
18.0001,15,94713,0.999997,985664000.0,123207680,17.0001,0,11865048
19.0001,15,108127,1,996144000.0,124518400,18.0001,0,13565168
20.0001,15,123864,1,985661440,123207680,19.0001,0,15578468
21.0001,15,141282,1,985661440,123207680,20.0001,0,17806520
22.0001,15,78914,0.999997,996150000.0,124518400,21.0001,25,9771216
23.0001,15,79687,1,985658000.0,123207680,22.0001,0,9878592
24.0001,15,82689,1,996147200,124518400,23.0001,0,10317044
25.0001,15,91200,0.999997,985664000.0,123207680,24.0001,0,11399752
26.0001,15,103450,1,985657000.0,123207680,25.0001,0,12974600
27.0001,15,118432,1.00001,996136000.0,124518400,26.0001,0,14889472
28.0001,15,135505,0.999986,985675000.0,123207680,27.0001,0,17063836
29.0001,15,153994,1,985660000.0,123207680,28.0001,0,19408212
30.0001,15,79465,0.999999,996148000.0,124518400,29.0001,22,9851748
31.0001,15,81161,1,985661000.0,123207680,30.0001,0,10093344
32.0001,15,87941,0.999999,996148000.0,124518400,31.0001,0,10979196
33.0001,15,99183,1,985661440,123207680,32.0001,0,12410876
34.0001,15,113147,0.999999,985662000.0,123207680,33.0001,0,14227320
35.0001,15,129561,0.999999,996148000.0,124518400,34.0001,0,16321152
36.0001,15,147748,1,985658000.0,123207680,35.0001,0,18620788
37.0001,15,79165,1,985661440,123207680,36.0001,14,9798060
38.0001,15,80004,0.999998,996149000.0,124518400,37.0001,0,9941228
39.0001,15,85206,1.00001,985647000.0,123207680,38.0001,0,10630224
40.0001,15,95113,0.999985,996162000.0,124518400,39.0001,0,11909788
41.0001,15,108469,1,985661440,123207680,40.0001,0,13618856
42.0001,15,124492,1,985660000.0,123207680,41.0001,0,15641104
43.0001,15,141976,0.999999,996148000.0,124518400,42.0001,0,17878104
44.0001,15,78782,0.999997,985664000.0,123207680,43.0001,23,9771216
45.0001,15,79883,1.00001,985657000.0,123207680,44.0001,0,9887540
46.0001,15,82964,0.999999,996148000.0,124518400,45.0001,0,10334940
47.0001,15,91389,0.999998,985663000.0,123207680,46.0001,0,11435544
48.0001,15,103859,1,996146000.0,124518400,47.0001,0,13019340
49.0001,15,118834,1,985661000.0,123207680,48.0001,0,14952108
50.0001,15,136021,1,985661440,123207680,49.0001,0,17126472
51.0001,15,154453,0.999998,996149000.0,124518400,50.0001,0,19479796
52.0001,15,79464,1,985660000.0,123207680,51.0001,18,9842800
53.0001,15,81427,0.999998,985663000.0,123207680,52.0001,0,10102292
54.0001,15,88176,1,996145000.0,124518400,53.0001,0,11014988
55.0001,15,99470,0.999999,985662000.0,123207680,54.0001,0,12473512
56.0001,15,113709,0.999998,996149000.0,124518400,55.0001,0,14307852
57.0001,15,130263,1,985660000.0,123207680,56.0001,0,16410632
58.0001,15,148494,1,985660000.0,123207680,57.0001,0,18710268
59.0001,15,79236,0.999997,996150000.0,124518400,58.0001,18,9824904
60.0001,15,80341,1.00002,985646000.0,123207680,59.0001,0,9977020
