end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00009,15,106874,1.00009,733934000.0,91750400,0,0,3541808
2.00055,15,158338,1.00046,167695000.0,20971520,1.00009,9676,12229808
3.00107,15,74423,1.00052,0,0,2.00055,64,46336
4.00009,15,114204,0.999022,661250000.0,82575360,3.00107,6799,7171944
5.00016,15,156726,1.00007,377461000.0,47185920,4.00009,178,4785640
6.00008,15,65011,0.999917,440438000.0,55050240,5.00016,65,3609864
7.00009,15,63819,1.00001,450884000.0,56360960,6.00008,0,3664888
8.0001,15,63874,1.00001,471857000.0,58982400,7.00009,0,3863264
9.00008,15,63868,0.999988,387978000.0,48496640,8.0001,344,2032992
10.0001,15,63850,1,262144000,32768000,9.00008,0,2056160
11.0001,15,63812,0.999996,251659000.0,31457280,10.0001,0,2170552
12.0001,15,64163,1,283115000.0,35389440,11.0001,0,2432640
13.0001,15,64500,1.00003,325050000.0,40632320,12.0001,0,2835184
14.0001,15,69737,0.999958,367017000.0,45875200,13.0001,0,3356464
15.0001,15,73543,1.00008,293578000.0,36700160,14.0001,521,1851992
16.0001,15,80676,0.999939,199242000.0,24903680,15.0001,0,1872264
17.0001,15,88410,0.999998,178258000.0,22282240,16.0001,0,1957696
18.0001,15,97175,1,167772160,20971520,17.0001,0,2141592
19.0001,15,106686,0.999998,178258000.0,22282240,18.0001,0,2406576
20.0001,15,115129,1.00001,178256000.0,22282240,19.0001,0,2738168
21.0001,15,125050,1.00003,199223000.0,24903680,20.0001,0,3127680
22.0001,15,134924,0.999961,199237000.0,24903680,21.0001,0,3573664
23.0001,15,145683,0.999998,209716000.0,26214400,22.0001,0,4063088
24.0001,15,155950,0.999996,230688000.0,28835840,23.0001,0,4588712
25.0001,15,65499,1.00001,251657000.0,31457280,24.0001,53,2371824
26.0001,15,65763,0.999997,283116000.0,35389440,25.0001,0,2403680
27.0001,15,90471,1,272630000.0,34078720,26.0001,0,2538344
28.0001,15,95405,1.00003,272622000.0,34078720,27.0001,0,2794640
29.0001,15,81171,0.999972,325068000.0,40632320,28.0001,0,3201528
30.0003,15,70027,1.00019,262093000.0,32768000,29.0001,234,1786832
31.0001,15,74908,0.999804,251708000.0,31457280,30.0003,2,1801312
32.0001,15,78800,1.00002,188741000.0,23592960,31.0001,0,1843304
33.0001,15,82181,0.999987,178260000.0,22282240,32.0001,0,1991000
34.0001,15,88514,1.00001,199227000.0,24903680,33.0001,0,2247296
35.0001,15,94207,0.99999,209717000.0,26214400,34.0001,0,2597712
36.0001,15,64161,1,272629000.0,34078720,35.0001,0,3111752
37.0001,15,64226,0.999996,304088000.0,38010880,36.0001,99,1731808
38.0001,15,64491,1.00001,209712000.0,26214400,37.0001,0,1759320
39.0001,15,63967,0.999991,220203000.0,27525120,38.0001,0,1902672
40.0001,15,64255,0.999997,251659000.0,31457280,39.0001,0,2192272
41.0001,15,69180,0.999999,262144000.0,32768000,40.0001,0,2594816
42.0001,15,64466,1,283115000.0,35389440,41.0001,298,1492888
43.0001,15,63840,1.00001,188743000.0,23592960,42.0001,0,1514608
44.0001,15,64829,0.999992,188745000.0,23592960,43.0001,0,1615968
45.0001,15,64565,1,209715200,26214400,44.0001,0,1867920
46.0001,15,64145,1,241172000.0,30146560,45.0001,0,2254536
47.0001,15,101458,1.00002,272624000.0,34078720,46.0001,117,2242952
48.0001,15,64509,0.999979,188748000.0,23592960,47.0001,17,1401664
49.0001,15,63882,1,167772160,20971520,48.0001,0,1465376
50.0001,15,63996,0.999998,188744000.0,23592960,49.0001,0,1675336
51.0001,15,64343,1,230686000.0,28835840,50.0001,0,2032992
52.0001,15,87221,1.00001,262141000.0,32768000,51.0001,0,2505040
53.0001,15,67587,0.999984,314578000.0,39321600,52.0001,0,3127680
54.0001,15,65003,0.999999,220201000.0,27525120,53.0001,268,1630448
55.0001,15,65115,0.999999,209715000.0,26214400,54.0001,0,1673888
56.0001,15,63959,1.00001,209714000.0,26214400,55.0001,0,1851992
57.0001,15,64111,0.999995,241174000.0,30146560,56.0001,0,2170552
58.0001,15,78030,1,272629760,34078720,57.0001,0,2616536
59.0001,15,66197,0.999999,346030000.0,43253760,58.0001,0,3220352
60.0001,15,64355,1.00002,241168000.0,30146560,59.0001,158,1688368
