end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,45990,1.00007,3187440000.0,398458880,0,2,28347264
2.00006,15,45965,0.99999,4970300000.0,621281280,1.00007,0,28544120
3.00006,15,46129,1,5012193280,626524160,2.00006,0,29268908
4.00007,15,46029,1,5190450000.0,648806400,3.00006,0,30915340
5.00007,15,45973,1.00001,5588860000.0,698613760,4.00007,0,33555000
6.00007,15,45982,0.999998,6123700000.0,765460480,5.00007,0,37169992
7.00007,15,45984,0.999994,6836760000.0,854589440,6.00007,0,41921380
8.00007,15,46006,1,7780430000.0,972554240,7.00007,0,47889696
9.00007,15,49100,1,8745110000.0,1093140480,8.00007,0,54913876
10.0001,15,55792,1,8881420000.0,1110179840,9.00007,0,62224392
11.0001,15,59583,0.999996,8891960000.0,1111490560,10.0001,0,69713868
12.0001,15,69424,1,8933867520,1116733440,11.0001,0,77364408
13.0001,15,76502,1,8849960000.0,1106247680,12.0001,0,85086532
14.0001,15,79824,0.999991,8839570000.0,1104936960,13.0001,0,88442032
15.0002,15,79167,1.00012,8880370000.0,1110179840,14.0001,0,88442032
16.0001,15,79363,0.999891,8861430000.0,1107558400,15.0002,0,88442032
17.0001,15,79160,0.999996,8860500000.0,1107558400,16.0001,0,88442032
18.0001,15,80154,1,8829000000.0,1103626240,17.0001,0,88442032
19.0001,15,79235,0.999992,8881510000.0,1110179840,18.0001,0,88442032
20,15,74834,0.999962,8955180000.0,1119354880,19.0001,0,88442032
21.0001,15,79190,1.00005,8901990000.0,1112801280,20,0,88442032
22.0001,15,79127,0.999995,8881480000.0,1110179840,21.0001,0,88442032
23.0001,15,79087,1,8891900000.0,1111490560,22.0001,0,88442032
24.0001,15,70973,1,9185525760,1148190720,23.0001,0,88442032
25.0002,15,46039,1.00012,8240830000.0,1030225920,24.0001,288,44337340
26.0001,15,46146,0.999908,7739200000.0,967311360,25.0002,0,44561040
27.0001,15,45977,0.999969,7801650000.0,975175680,26.0001,0,45500580
28.0001,15,45943,0.999998,8063560000.0,1007943680,27.0001,0,47406504
29.0001,15,45941,1,8514430000.0,1064304640,28.0001,0,50350396
30.0001,15,46058,1.00001,9059630000.0,1132462080,29.0001,0,54350152
31.0001,15,46020,1.00003,8839270000.0,1104936960,30.0001,32,29107844
32.0002,15,46014,1.00015,5084820000.0,635699200,31.0001,0,29295752
33.0003,15,45988,1.00006,5127220000.0,640942080,32.0002,0,29832632
34.0001,15,46025,0.999821,5296260000.0,661913600,33.0003,0,31300104
35.0001,15,46045,0.999976,5620500000.0,702545920,34.0001,0,33725012
36.0001,15,46018,0.999966,6134380000.0,766771200,35.0001,0,37053668
37.0002,15,46051,1.0001,6783580000.0,848035840,36.0001,0,41456084
38.0001,15,45956,0.999901,7676340000.0,959447040,37.0002,0,47138064
39.0001,15,45999,0.999996,8755650000.0,1094451200,38.0001,0,54028024
40.0001,15,46122,1.00005,9793250000.0,1224212480,39.0001,0,57508796
41.0001,15,48027,0.999944,9867650000.0,1233387520,40.0001,0,59262604
42.0001,15,46154,1.00004,8922990000.0,1115422720,41.0001,384,23712200
43.0001,15,46037,0.999996,4540350000.0,567541760,42.0001,0,23864316
44.0001,15,45983,1,4162830000.0,520355840,43.0001,0,24186444
45.0001,15,46041,1.00004,4298980000.0,537395200,44.0001,0,25224412
46,15,46000,0.999866,4519970000.0,564920320,45.0001,0,26996116
47.0001,15,46027,1.00006,4886060000.0,610795520,46,0,29537348
48.0001,15,45965,1.00001,5400090000.0,675020800,47.0001,0,32857056
49.0001,15,45970,0.999989,6050350000.0,756285440,48.0001,0,36999980
50.0001,15,45980,1.00004,6846930000.0,855900160,49.0001,0,42136132
51.0001,15,45976,0.999979,7833030000.0,979107840,50.0001,0,48310252
52.0001,15,49452,0.999979,8787250000.0,1098383360,51.0001,0,55307588
53.0001,15,55917,0.999997,8881470000.0,1110179840,52.0001,0,62412300
54.0001,15,62427,1.00003,8870690000.0,1108869120,53.0001,0,69552804
55.0001,15,68954,0.999994,8871010000.0,1108869120,54.0001,0,76755944
56.0001,15,75333,1,8954820000.0,1119354880,55.0001,0,84084356
57.0001,15,79293,0.999975,8881660000.0,1110179840,56.0001,0,88361500
58.0001,15,79486,0.999999,8870960000.0,1108869120,57.0001,0,88361500
59.0001,15,79570,1,8849970000.0,1106247680,58.0001,0,88361500
60.0002,15,79593,1.00009,8859630000.0,1107558400,59.0001,0,88361500
