end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00011,15,50911,1.00011,733922000.0,91750400,0,401,544448
2.00017,15,50887,1.00006,83881500.0,10485760,1.00011,14,288152
3.00008,15,50856,0.999919,52433100.0,6553600,2.00017,0,314216
4.00013,15,50819,1.00005,20970500.0,2621440,3.00008,4,99912
5.00032,15,50815,1.00019,10483800.0,1310720,4.00013,3,70952
6.00041,15,50832,1.00009,10484900.0,1310720,5.00032,0,108600
7.00043,15,50825,1.00002,10485600.0,1310720,6.00041,2,46336
8.00016,15,50838,0.999731,10488600.0,1310720,7.00043,0,83984
9.00055,15,50890,1.00039,10481700.0,1310720,8.00016,4,44888
10.0002,15,50951,0.999682,10489100.0,1310720,9.00055,0,69504
11.0004,15,50833,1.00019,10483800.0,1310720,10.0002,0,156384
12.0006,15,50826,1.00013,20968700.0,2621440,11.0004,3,72400
13.0008,15,51078,1.00029,10482700.0,1310720,12.0006,2,47784
14.001,15,50831,1.0002,10483700.0,1310720,13.0008,0,75296
15.001,15,50950,0.999955,10486200.0,1310720,14.001,7,21720
16.0007,15,50852,0.999697,10488900.0,1310720,15.001,0,44888
17.0003,15,50845,0.999572,10490200.0,1310720,16.0007,0,102808
18.0003,15,50864,1.00005,10485200.0,1310720,17.0003,1,79640
19.0005,15,50834,1.00019,10483800.0,1310720,18.0003,0,133216
20.0002,15,50886,0.999675,31467500.0,3932160,19.0005,0,283808
21.0001,15,50955,0.999918,62919700.0,7864320,20.0002,0,551688
22.0001,15,50870,0.999987,41943600.0,5242880,21.0001,21,160728
23.0005,15,50864,1.00039,10481700.0,1310720,22.0001,3,56472
24.0004,15,51631,0.99995,10486300.0,1310720,23.0005,6,43440
25.0001,15,50849,0.999712,10488800.0,1310720,24.0004,0,69504
26.0003,15,50821,1.00015,10484200.0,1310720,25.0001,1,65160
27.0005,15,50824,1.00023,10483400.0,1310720,26.0003,3,36200
28.0002,15,50853,0.999729,10488600.0,1310720,27.0005,0,46336
29.001,15,50855,1.0008,0,0,28.0002,0,72400
30.0003,15,50889,0.999213,20988000.0,2621440,29.001,0,149144
31.0001,15,50872,0.999887,31460800.0,3932160,30.0003,1,130320
32.0004,15,50812,1.0003,10482600.0,1310720,31.0001,1,89776
33.0007,15,50909,1.00028,10482800.0,1310720,32.0004,3,33304
34.0004,15,53060,0.999624,10489700.0,1310720,33.0007,1,31856
35.001,15,54646,1.00068,0,0,34.0004,0,76744
36.0009,15,50964,0.999913,10486700.0,1310720,35.001,3,39096
37.0008,15,50894,0.999815,10487700.0,1310720,36.0009,0,63712
38.0006,15,50862,0.999846,10487400.0,1310720,37.0008,0,136112
39.0002,15,51127,0.999563,31471000.0,3932160,38.0006,3,124528
40.0002,15,50888,0.999986,20971800.0,2621440,39.0002,2,134664
41.0005,15,50834,1.00034,10482200.0,1310720,40.0002,0,101360
42.0002,15,50880,0.999743,20976900.0,2621440,41.0005,0,154936
43.0002,15,50989,0.999923,31459700.0,3932160,42.0002,2,144800
44.0003,15,50923,1.00013,20968800.0,2621440,43.0002,1,91224
45.0002,15,50851,0.99992,10486600.0,1310720,44.0003,2,69504
46.0003,15,50862,1.00013,10484400.0,1310720,45.0002,0,124528
47.0001,15,60187,0.999757,31464900.0,3932160,46.0003,0,260640
48.0001,15,51605,1,41943000.0,5242880,47.0001,5,225888
49.0003,15,51947,1.00019,31451300.0,3932160,48.0001,1,128872
50.0003,15,51260,1.00002,20971000.0,2621440,49.0003,0,154936
51.0005,15,51540,1.00019,20967500.0,2621440,50.0003,1,108600
52.0004,15,52980,0.999896,20973700.0,2621440,51.0005,0,134664
53.0008,15,50903,1.00037,10481800.0,1310720,52.0004,2,91224
54.0003,15,50866,0.99952,20981600.0,2621440,53.0008,0,139008
55.0001,15,60951,0.999809,31463300.0,3932160,54.0003,0,270776
56.0003,15,58662,1.00018,31451700.0,3932160,55.0001,5,188240
57.0002,15,56753,0.999969,20972200.0,2621440,56.0003,4,60816
58.0002,15,50918,0.999936,10486400.0,1310720,57.0002,0,86880
59.0005,15,54277,1.0003,10482600.0,1310720,58.0002,4,83984
60.0003,15,51117,0.999799,20975700.0,2621440,59.0005,0,111496
