end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00047,15,144604,1.00047,2515390000.0,314572800,0,0,697944
2.00018,15,144748,0.999708,377598000.0,47185920,1.00047,0,30834808
3.00007,15,145972,0.999888,3974550000.0,496762880,2.00018,0,298558968
4.00007,15,158927,1,9510584320,1188823040,3.00007,0,392387696
5.00021,15,183296,1.00014,9655990000.0,1207173120,4.00007,0,452715112
6.00007,15,219466,0.999856,9522440000.0,1190133760,5.00021,0,542087736
7.00015,15,149774,1.00008,8534720000.0,1066926080,6.00007,719,292519068
8.00011,15,187972,0.999963,9510940000.0,1188823040,7.00015,0,292519068
9.00007,15,217921,0.999956,9584410000.0,1197998080,8.00011,0,292519068
10.0001,15,173767,0.999999,9059710000.0,1132462080,9.00007,387,146281904
11.0002,15,144927,1.00015,7831710000.0,979107840,10.0001,0,146353488
12.0001,15,144807,0.999898,8085350000.0,1010565120,11.0002,0,146926160
13.0001,15,145748,0.999961,8137270000.0,1017118720,12.0001,0,148501008
14.0001,15,159941,1,7780420000.0,972554240,13.0001,0,150970656
15.0001,15,173345,0.999995,7277150000.0,909639680,14.0001,0,154147196
16.0001,15,187505,0.999997,6868190000.0,858521600,15.0001,0,157959044
17.0001,15,201929,1,6522140000.0,815267840,16.0001,0,162316720
18.0001,15,216492,0.999994,6249550000.0,781189120,17.0001,0,167184432
19.0001,15,231480,1,6008340480,751042560,18.0001,0,172490596
20.0001,15,163812,1.00001,5840510000.0,730071040,19.0001,70,105640088
21.0002,15,162455,1.00013,5221200000.0,652738560,20.0001,0,105684828
22.0001,15,164732,0.999861,5180690000.0,647495680,21.0002,0,106185916
23.0001,15,169841,1,5096070000.0,637009920,22.0001,0,107384948
24.0001,15,177556,1,4970240000.0,621281280,23.0001,0,109237184
25.0001,15,187094,1.00002,4823360000.0,602931200,24.0001,0,111679988
26.0001,15,197379,0.999977,4666270000.0,583270400,25.0001,0,114650724
27.0001,15,209466,1,4540334080,567541760,26.0001,0,118104652
28.0001,15,227023,1,4383030000.0,547880960,27.0001,0,121952292
29.0001,15,157418,1,3628070000.0,453509120,28.0001,254,61410124
30.0001,15,157612,1,3124750000.0,390594560,29.0001,0,61589084
31.0001,15,161153,1,3114270000.0,389283840,30.0001,0,62564416
32.0001,15,167745,0.999999,3072330000.0,384040960,31.0001,0,64407704
33.0001,15,176665,1,3040870000.0,380108800,32.0001,0,67020520
34.0001,15,187533,1,2988441600,373555200,33.0001,0,70331280
35.0001,15,199601,1.00001,2956970000.0,369623040,34.0001,0,74232608
36.0001,15,212668,0.999993,2936030000.0,367001600,35.0001,0,78652920
37.0001,15,226909,1.00003,2914960000.0,364380160,36.0001,0,83529580
38.0002,15,226006,1.00011,2348540000.0,293601280,37.0001,24,50547252
39.0001,15,179688,0.999879,2632240000.0,328990720,38.0002,0,43952576
40.0001,15,185925,0.999998,1929380000.0,241172480,39.0001,0,44301548
41.0001,15,194181,1,1876950000.0,234618880,40.0001,0,45411100
42.0001,15,203840,1.00004,1855900000.0,231997440,41.0001,0,47182804
43.0001,15,214887,0.99994,1824630000.0,228065280,42.0001,0,49562972
44.0001,15,227299,1,1824520000.0,228065280,43.0001,0,52480020
45.0001,15,240308,1.00003,1688170000.0,211025920,44.0001,4,46824884
46.0001,15,178504,0.999989,1562400000.0,195297280,45.0001,0,27855124
47.0001,15,183284,0.999986,1226850000.0,153354240,46.0001,0,28168304
48.0001,15,190947,0.999999,1226840000.0,153354240,47.0001,0,29233116
49.0001,15,199098,1,1226830000.0,153354240,48.0001,0,30977976
50.0001,15,210128,1.00001,1226820000.0,153354240,49.0001,0,33286560
51.0001,15,223461,0.999986,1268790000.0,158597120,50.0001,0,36140972
52.0001,15,236374,1,1289750000.0,161218560,51.0001,0,39415940
53.0001,15,173012,1.00001,1111470000.0,138936320,52.0001,39,20034572
54.0001,15,178041,0.999986,912274000.0,114032640,53.0001,0,20195636
55.0001,15,184022,1,901773000.0,112721920,54.0001,0,21054644
56.0001,15,192280,1.00001,922742000.0,115343360,55.0001,0,22620544
57.0001,15,202115,0.999992,943726000.0,117964800,56.0001,0,24785960
58.0001,15,213304,1,985661440,123207680,57.0001,0,27497204
59.0001,15,226846,1,1038090000.0,129761280,58.0001,0,30646900
60.0001,15,238912,1.00005,1006580000.0,125829120,59.0001,7,28213044
