end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00008,15,71121,1.00008,765397000.0,95682560,0,161,674768
2.00011,15,68618,1.00002,73398600.0,9175040,1.00008,0,683456
3.0001,15,68732,0.999994,83886600.0,10485760,2.00011,0,725448
4.00012,15,69057,1.00002,83884100.0,10485760,3.0001,0,835496
5.00008,15,68870,0.999959,104862000.0,13107200,4.00012,0,1000568
6.0001,15,68801,1.00002,125827000.0,15728640,5.00008,0,1243832
7.00009,15,69000,0.999992,157288000.0,19660800,6.0001,0,1543568
8.00009,15,69377,0.999996,199230000.0,24903680,7.00009,0,1933080
9.00008,15,69039,0.999998,241173000.0,30146560,8.00009,0,2376168
10.0001,15,69107,0.999999,314573000.0,39321600,9.00008,0,2923512
11.0001,15,68761,1,356515840,44564480,10.0001,0,3538912
12.0001,15,69647,0.999995,450890000.0,56360960,11.0001,0,4252776
13.0001,15,68822,1.00002,524279000.0,65536000,12.0001,0,5054968
14.0001,15,69327,0.999989,629153000.0,78643200,13.0001,0,5946936
15.0001,15,70930,0.999989,734011000.0,91750400,14.0001,0,6934472
16.0001,15,69648,1,576716000.0,72089600,15.0001,663,3670680
17.0001,15,68910,0.999992,429920000.0,53739520,16.0001,0,3701088
18.0001,15,68865,1,429916160,53739520,17.0001,0,3857472
19.0001,15,69112,1.00001,461369000.0,57671680,18.0001,0,4174584
20.0001,15,68995,1,503316000.0,62914560,19.0001,0,4653872
21.0001,15,69095,1,566231000.0,70778880,20.0001,0,5304024
22.0001,15,69659,1.00001,650113000.0,81264640,21.0001,0,6129384
23.0001,15,71801,0.999993,754980000.0,94371840,22.0001,0,7128504
24.0001,15,76588,1,828372000.0,103546880,23.0001,0,8269528
25.0001,15,86749,1,859832000.0,107479040,24.0001,0,9464128
26.0004,15,69051,1.00028,587039000.0,73400320,25.0001,2264,5136056
27.0002,15,76078,0.999846,409008000.0,51118080,26.0004,3488,2148832
28.0003,15,69747,1.00011,146784000.0,18350080,27.0002,2774,2144488
29.0001,15,69707,0.999769,209764000.0,26214400,28.0003,964,1326368
30.0001,15,68831,1.00001,146799000.0,18350080,29.0001,0,1336504
31.0002,15,68900,1.00015,136295000.0,17039360,30.0001,0,1387184
32.0011,15,68900,1.00083,0,0,31.0002,2,1448
33.0011,15,68900,1.00001,0,0,32.0011,1,1448
34.0011,15,68900,1.00001,0,0,33.0011,0,1448
35.0011,15,68787,0.999991,0,0,34.0011,1,2896
36.0001,15,69339,0.999063,31486800.0,3932160,35.0011,944,702280
37.0001,15,69070,0.999961,83889400.0,10485760,36.0001,0,725448
38.0001,15,68905,1.00004,83882400.0,10485760,37.0001,0,841288
39.0001,15,69131,0.999956,115348000.0,14417920,38.0001,0,1113512
40.0001,15,68914,0.999988,146802000.0,18350080,39.0001,0,1520400
41.0001,15,68907,1,209715000.0,26214400,40.0001,0,2114080
42.0001,15,69054,1.00001,272626000.0,34078720,41.0001,0,2849664
43.0001,15,69201,0.999981,377495000.0,47185920,42.0001,0,3787968
44.0001,15,68789,1.00002,492823000.0,61603840,43.0001,0,4920304
45.0001,15,69568,0.999979,629159000.0,78643200,44.0001,0,6233640
46.0001,15,68738,1.00001,733997000.0,91750400,45.0001,41,3764800
47.0001,15,68863,1,346030080,43253760,46.0001,16,1896880
48.0001,15,68730,0.999995,220202000.0,27525120,47.0001,0,1924392
49.0001,15,68751,1,220201000.0,27525120,48.0001,0,2070640
50.0001,15,69139,1,251658240,31457280,49.0001,0,2368928
51.0001,15,69076,0.999999,304087000.0,38010880,50.0001,0,2832288
52.0001,15,68738,0.999997,356517000.0,44564480,51.0001,0,3456376
53.0001,15,69143,1,440401000.0,55050240,52.0001,0,4267256
54.0001,15,68978,1.00001,534771000.0,66846720,53.0001,0,5247552
55.0001,15,69188,0.99999,671095000.0,83886080,54.0001,0,6423328
56.0001,15,72531,0.999998,786434000.0,98304000,55.0001,0,7774312
57.0001,15,85337,1,859830000.0,107479040,56.0001,0,9175976
58.0001,15,70036,1,534772000.0,66846720,57.0001,1739,1448
59.0001,15,75123,1.00001,377485000.0,47185920,58.0001,3930,1036768
60.0004,15,70180,1.00036,83856000.0,10485760,59.0001,853,57920
