end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,116795,1.00007,4665830000.0,583270400,0,0,176901960
2.00007,15,118640,0.999996,5976910000.0,747110400,1.00007,0,176901960
3.00011,15,119540,1.00004,5913720000.0,739246080,2.00007,0,176901960
4.00007,15,114106,0.999958,5631090000.0,703856640,3.00011,16,88468876
5.00008,15,116401,1.00002,6113110000.0,764149760,4.00007,0,88477824
6.00008,15,119703,1,5966390000.0,745799680,5.00008,0,88477824
7.00008,15,74729,0.999992,5064660000.0,633077760,6.00008,13,44319444
8.00007,15,79598,0.999992,4592800000.0,574095360,7.00008,0,44435768
9.00008,15,85907,1.00001,4309610000.0,538705920,8.00007,0,44748948
10.0001,15,93185,0.999999,4016050000.0,502005760,9.00008,0,45366360
11.0001,15,101459,0.999997,3743430000.0,467927040,10.0001,0,46225368
12.0001,15,113318,1.00001,3481250000.0,435159040,11.0001,0,47308076
13.0001,15,132419,1,3009410000.0,376176640,12.0001,0,48462368
14.0002,15,55491,1.00011,3344580000.0,418119680,13.0001,37,24472780
15.0001,15,56261,0.999883,3492170000.0,436469760,14.0002,0,24633844
16.0001,15,58744,0.999997,3491770000.0,436469760,15.0001,0,25134932
17.0001,15,62474,1.00002,3386820000.0,423362560,16.0001,0,26083420
18.0001,15,67342,0.999988,3250620000.0,406323200,17.0001,0,27389828
19.0001,15,74455,0.999994,3114290000.0,389283840,18.0001,0,29009416
20.0001,15,88503,0.999999,2894070000.0,361758720,19.0001,0,30807964
21.0001,15,96631,0.999994,2789230000.0,348651520,20.0001,0,32803368
22.0001,15,106577,1.00001,2673850000.0,334233600,21.0001,0,34932992
23.0001,15,114086,1,2600460000.0,325058560,22.0001,0,37196836
24.0001,15,60279,0.999998,5211430000.0,651427840,23.0001,0,41921380
25.0001,15,64410,1.00002,5714620000.0,714342400,24.0001,0,47102272
26.0001,15,69543,0.999965,5945630000.0,743178240,25.0001,0,52497916
27.0001,15,73852,1,6176090000.0,772014080,26.0001,0,58108312
28,15,78948,0.999967,6386040000.0,798228480,27.0001,0,63897668
29.0001,15,83750,1.00004,6563850000.0,820510720,28,0,69857036
30.0001,15,88757,1.00001,6731800000.0,841482240,29.0001,0,75968520
31.0001,15,41796,0.999995,6731890000.0,841482240,30.0001,28,40606024
32.0001,15,38730,0.999998,8420080000.0,1052508160,31.0001,0,40838672
33.0001,15,91014,1.00001,4959730000.0,619970560,32.0001,0,41008684
34,15,91617,0.999936,3607330000.0,450887680,33.0001,0,41375552
35.0001,15,93024,1.00008,3606810000.0,450887680,34,0,42010860
36.0001,15,93597,0.999982,3628140000.0,453509120,35.0001,0,42914608
37.0001,15,94163,0.999999,3701480000.0,462684160,36.0001,0,44086796
38.0001,15,95464,0.999998,3774880000.0,471859200,37.0001,0,45545320
39.0001,15,97203,1.00001,3848250000.0,481034240,38.0001,0,47263336
40.0001,15,98796,1,3932160000.0,491520000,39.0001,0,49249792
41.0001,15,100905,1.00001,4026510000.0,503316480,40.0001,0,51504688
42,15,103381,0.999948,4121120000.0,515112960,41.0001,0,54028024
43.0001,15,105616,1.00004,4215090000.0,526909440,42,0,56801904
44.0001,15,107849,0.999997,4351600000.0,543948800,43.0001,0,59808432
45.0001,15,110847,1.00001,4477400000.0,559677440,44.0001,0,63047608
46.0001,15,114340,1.00002,4592680000.0,574095360,45.0001,0,66537328
47.0001,15,118332,0.999975,4687250000.0,585891840,46.0001,0,70214956
48.0001,15,120454,1.00002,4833820000.0,604241920,47.0001,0,74116284
49.0001,15,87404,0.999983,4037090000.0,504627200,48.0001,11,37232628
50.0001,15,87795,1.00002,3397320000.0,424673280,49.0001,0,37340004
51.0001,15,88068,0.999975,3418440000.0,427294720,50.0001,0,37653184
52.0002,15,88696,1.00013,3438880000.0,429916160,51.0001,0,38252700
53.0001,15,89463,0.999898,3471140000.0,433848320,52.0002,0,39129604
54.0001,15,90359,1,3523200000.0,440401920,53.0001,0,40292844
55.0001,15,91716,0.99999,3596650000.0,449576960,54.0001,0,41733472
56.0001,15,93292,0.999981,3680570000.0,460062720,55.0001,0,43460436
57.0001,15,95177,1,3753890000.0,469237760,56.0001,0,45464788
58.0001,15,97311,0.999996,3869260000.0,483655680,57.0001,0,47737580
59.0001,15,99677,1.00002,3963530000.0,495452160,58.0001,0,50269864
60.0001,15,101981,1.00001,4068420000.0,508559360,59.0001,0,53061640
