end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00047,15,139579,1.00047,712693000.0,89128960,0,0,863008
2.00009,15,139651,0.999619,94407800.0,11796480,1.00047,625,1668096
3.00027,15,139663,1.00018,62903500.0,7864320,2.00009,39,841288
4.00016,15,142031,0.999893,52434400.0,6553600,3.00027,0,861560
5.00018,15,142954,1.00002,52427900.0,6553600,4.00016,0,1007808
6.00017,15,140221,0.999991,62915100.0,7864320,5.00018,0,1295960
7.00019,15,139573,1.00002,41942200.0,5242880,6.00017,14,670424
8.00021,15,139576,1.00002,41942200.0,5242880,7.00019,0,732688
9.00028,15,141338,1.00007,41940300.0,5242880,8.00021,0,936856
10.0003,15,140561,0.999976,41944100.0,5242880,9.00028,5,515488
11.0002,15,141006,0.999933,31459400.0,3932160,10.0003,0,535760
12.0003,15,140174,1.00007,31455100.0,3932160,11.0002,2,666080
13.0005,15,139690,1.0002,20967200.0,2621440,12.0003,0,347520
14.0004,15,139634,0.999942,20972700.0,2621440,13.0005,0,408336
15.0001,15,140346,0.999691,31467000.0,3932160,14.0004,0,593680
16.0001,15,139832,1.00005,41941100.0,5242880,15.0001,0,890520
17.0003,15,139963,1.00017,41935800.0,5242880,16.0001,3,556032
18.0003,15,142086,0.999981,31457900.0,3932160,17.0003,0,570512
19.0003,15,148263,1.00003,31456300.0,3932160,18.0003,2,324352
20.0002,15,152555,0.999833,20975000.0,2621440,19.0003,0,335936
21.0001,15,161554,0.999939,20972800.0,2621440,20.0002,0,435848
22.0001,15,174793,1.00004,20970600.0,2621440,21.0001,0,616848
23.0002,15,192246,1.00003,31456200.0,3932160,22.0001,0,878936
24.0001,15,204458,0.999908,41946900.0,5242880,23.0002,0,1219216
25.0001,15,214703,1,52428800,6553600,24.0001,0,1675336
26.0001,15,141670,1.00005,41940800.0,5242880,25.0001,34,878936
27.0001,15,140126,0.999968,41944400.0,5242880,26.0001,55,445984
28.0003,15,140798,1.00019,20967500.0,2621440,27.0001,0,466256
29.0001,15,139680,0.999841,31462300.0,3932160,28.0003,0,600920
30.0001,15,139692,0.999962,41944600.0,5242880,29.0001,0,865904
31.0002,15,139589,1.00008,52424500.0,6553600,30.0001,0,1269896
32.0001,15,139992,0.999953,83890000.0,10485760,31.0002,0,1840408
33.0001,15,139874,0.99997,125833000.0,15728640,32.0001,0,2589024
34.0001,15,139739,0.999975,167776000.0,20971520,33.0001,0,3530224
35.0001,15,139909,1,230687000.0,28835840,34.0001,0,4659664
36.0001,15,139840,0.999998,304088000.0,38010880,35.0001,0,6033816
37.0001,15,140349,0.999995,387975000.0,48496640,36.0001,0,7675848
38.0001,15,139677,1.00001,429912000.0,53739520,37.0001,149,4454048
39.0001,15,139679,1,251658000.0,31457280,38.0001,0,4464184
40.0001,15,139770,0.999987,251662000.0,31457280,39.0001,0,4575680
41.0001,15,139790,1.00001,262141000.0,32768000,40.0001,0,4855144
42.0001,15,139705,1,293601000.0,36700160,41.0001,0,5308368
43.0001,15,139907,0.999997,325060000.0,40632320,42.0001,0,5942592
44.0001,15,139873,0.999997,356517000.0,44564480,43.0001,0,6746232
45.0001,15,139691,1,398458880,49807360,44.0001,0,7739560
46.0001,15,140030,1,429915000.0,53739520,45.0001,36,4173136
47.0001,15,139963,1,188743680,23592960,46.0001,0,2836632
48.0001,15,139656,1,157286000.0,19660800,47.0001,0,2878624
49.0001,15,139657,1,167772000.0,20971520,48.0001,0,3039352
50.0001,15,139867,0.999998,178258000.0,22282240,49.0001,0,3315920
51.0001,15,139759,1,199229000.0,24903680,50.0001,0,3708328
52.0001,15,179709,1.00005,146794000.0,18350080,51.0001,61,1959144
53.0001,15,178221,0.999998,94372000.0,11796480,52.0001,0,1967832
54.0001,15,179276,0.999967,83888800.0,10485760,53.0001,0,2070640
55.0002,15,181207,1.00007,94365500.0,11796480,54.0001,0,2292184
56.0001,15,184703,0.999932,104865000.0,13107200,55.0002,0,2644048
57.0001,15,188849,0.999991,125830000.0,15728640,56.0001,0,3097272
58.0001,15,194165,1.00004,136309000.0,17039360,57.0001,0,3663440
59.0001,15,200391,0.99996,157293000.0,19660800,58.0001,0,4348344
60.0001,15,207302,1.00002,178254000.0,22282240,59.0001,0,5156328
