end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.0005,15,141013,1.0005,712675000.0,89128960,0,0,480736
2.00025,15,139478,0.99975,178302000.0,22282240,1.0005,6156,11568072
3.00006,15,139833,0.999811,692191000.0,86507520,2.00025,3648,9220864
4.00009,15,139891,1.00003,524272000.0,65536000,3.00006,0,9226656
5.00008,15,139758,0.999982,534783000.0,66846720,4.00009,0,9294712
6.00007,15,139632,0.999998,545261000.0,68157440,5.00008,0,9435168
7.00008,15,139611,1.00001,534771000.0,66846720,6.00007,0,9646576
8.0001,15,139888,1.00002,545250000.0,68157440,7.00008,0,9934728
9.00007,15,139879,0.999978,576729000.0,72089600,8.0001,0,10298176
10.0001,15,139822,0.999998,597690000.0,74711040,9.00007,0,10751400
11.0001,15,139892,1.00001,639626000.0,79953920,10.0001,0,11292952
12.0001,15,139851,0.999997,660605000.0,82575360,11.0001,0,11925728
13.0001,15,140117,1,702545000.0,87818240,12.0001,0,12645384
14.0001,15,140019,0.999999,734004000.0,91750400,13.0001,0,13447576
15.0001,15,139948,1.00002,786417000.0,98304000,14.0001,0,14352576
16.0001,15,139949,0.999988,838871000.0,104857600,15.0001,0,15358936
17.0001,15,139510,0.999979,828392000.0,103546880,16.0001,332,8084184
18.0001,15,139833,1,482344960,60293120,17.0001,0,8094320
19.0001,15,139858,1.00003,461359000.0,57671680,18.0001,0,8197128
20.0001,15,139789,0.999984,471867000.0,58982400,19.0001,0,8472248
21.0001,15,139794,1.00001,492826000.0,61603840,20.0001,0,8919680
22.0001,15,139886,0.999984,524296000.0,65536000,21.0001,0,9549560
23.0001,15,139730,1.00001,566227000.0,70778880,22.0001,0,10366232
24.0001,15,139761,1.00001,618657000.0,77332480,23.0001,0,11375488
25.0001,15,140273,0.999991,681580000.0,85196800,24.0001,0,12591808
26.0001,15,139832,1.00002,754957000.0,94371840,25.0001,0,14015192
27.0001,15,139890,0.999965,838890000.0,104857600,26.0001,0,15649984
28.0001,15,143482,1.00001,880799000.0,110100480,27.0001,228,14768152
29.0001,15,139846,0.999999,587203000.0,73400320,28.0001,0,8711168
30.0001,15,139762,1.00001,492826000.0,61603840,29.0001,0,8779224
31.0001,15,139928,1,503316000.0,62914560,30.0001,0,9016696
32.0001,15,139717,0.999996,524290000.0,65536000,31.0001,0,9429376
33.0001,15,140122,1.00001,555741000.0,69468160,32.0001,0,10024504
34.0001,15,139863,0.999981,597700000.0,74711040,33.0001,0,10807872
35.0001,15,139688,1.00001,639628000.0,79953920,34.0001,0,11779480
36.0001,15,139729,1.00001,692054000.0,86507520,35.0001,0,12950912
37.0001,15,139762,1,775946000.0,96993280,36.0001,0,14329408
38.0001,15,140064,0.999991,859840000.0,107479040,37.0001,0,15926552
39.0001,15,139500,0.999995,859837000.0,107479040,38.0001,225,13854464
40.0001,15,139748,1,859830000.0,107479040,39.0001,0,13857360
41.0001,15,139776,1.00001,786423000.0,98304000,40.0001,0,13890664
42.0001,15,139880,1,796916000.0,99614720,41.0001,0,13997816
43.0001,15,139832,1.00001,807396000.0,100925440,42.0001,0,14178816
44.0001,15,139743,0.999989,817898000.0,102236160,43.0001,0,14436560
45.0002,15,139810,1.00016,838726000.0,104857600,44.0001,0,14773944
46.0001,15,139797,0.999844,849479000.0,106168320,45.0002,0,15192416
47.0001,15,140232,1.00001,880795000.0,110100480,46.0001,0,15694872
48.0001,15,140555,0.999983,901791000.0,112721920,47.0001,0,16282760
49.0001,15,143200,1,943718000.0,117964800,48.0001,0,16958976
50.0001,15,139843,0.999984,870332000.0,108789760,49.0001,228,13734280
51.0001,15,139742,1.00002,775931000.0,96993280,50.0001,0,13740072
52.0001,15,139951,0.999989,786441000.0,98304000,51.0001,0,13808128
53.0001,15,139853,1.00001,796914000.0,99614720,52.0001,0,13948584
54.0001,15,139914,1,796917000.0,99614720,53.0001,0,14164336
55.0001,15,139883,1.00002,817875000.0,102236160,54.0001,0,14456832
56.0001,15,139865,0.999976,838881000.0,104857600,55.0001,0,14830416
57.0001,15,139836,1.00001,859828000.0,107479040,56.0001,0,15287984
58.0001,15,139854,1.00001,880797000.0,110100480,57.0001,0,15823744
59.0001,15,139951,0.999999,922748000.0,115343360,58.0001,0,16456520
60.0001,15,144979,0.999985,943733000.0,117964800,59.0001,0,17168936
