end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,63992,1.00007,859776000.0,107479040,0,1566,2539792
2.00008,15,76698,1.00001,314568000.0,39321600,1.00007,0,2551376
3.00008,15,63919,1,304087040,38010880,2.00008,0,2597712
4.00007,15,77001,0.999989,314576000.0,39321600,3.00008,0,2729480
5.00008,15,96804,1.00001,325054000.0,40632320,4.00007,0,2937992
6.00008,15,64675,0.999998,188744000.0,23592960,5.00008,78,1494336
7.00008,15,64022,1,188743000.0,23592960,6.00008,0,1552256
8.0001,15,64015,1.00001,199227000.0,24903680,7.00008,0,1750632
9.00009,15,64117,0.999994,230688000.0,28835840,8.0001,0,2092360
10.0001,15,78870,1,251657000.0,31457280,9.00009,0,2532552
11.0001,15,64133,0.999984,293606000.0,36700160,10.0001,102,1524744
12.0001,15,63969,1,199229000.0,24903680,11.0001,0,1546464
13.0001,15,64018,1.00001,188741000.0,23592960,12.0001,0,1621760
14.0001,15,64453,0.999989,209718000.0,26214400,13.0001,0,1841856
15.0001,15,64488,0.999994,251660000.0,31457280,14.0001,0,2195168
16.0001,15,64966,0.999998,283116000.0,35389440,15.0001,0,2687488
17.0001,15,64316,1,304086000.0,38010880,16.0001,266,1931632
18.0001,15,64323,1,230686000.0,28835840,17.0001,0,1949008
19.0001,15,64324,1.00001,241170000.0,30146560,18.0001,0,2017064
20.0001,15,96717,1.00001,220200000.0,27525120,19.0001,0,2179240
21.0001,15,64379,0.999984,283120000.0,35389440,20.0001,0,2474632
22.0001,15,85697,1,304087000.0,38010880,21.0001,0,2874280
23.0001,15,74099,0.999997,262145000.0,32768000,22.0001,161,1901224
24.0001,15,64504,0.999986,230690000.0,28835840,23.0001,0,1927288
25.0001,15,64098,1.00001,230683000.0,28835840,24.0001,0,2047472
26.0001,15,64284,1,262143000.0,32768000,25.0001,0,2279152
27.0001,15,64683,1.00001,304085000.0,38010880,26.0001,0,2623776
28.0001,15,64724,0.99999,241175000.0,30146560,27.0001,22,1749184
29.0001,15,65522,0.999998,209716000.0,26214400,28.0001,0,1775248
30.0001,15,64392,1.00002,220197000.0,27525120,29.0001,0,1895432
31.0001,15,66704,0.999998,251659000.0,31457280,30.0001,0,2122768
32.0001,15,64088,1,262143000.0,32768000,31.0001,0,2450016
33.0001,15,63988,0.999997,314574000.0,39321600,32.0001,0,2885864
34.0001,15,63993,1.00003,325047000.0,40632320,33.0001,430,1685472
35.0001,15,72987,0.999979,230692000.0,28835840,34.0001,0,1708640
36.0001,15,64163,0.999976,209720000.0,26214400,35.0001,0,1778144
37.0001,15,63916,1.00003,230681000.0,28835840,36.0001,0,1992448
38.0001,15,64007,0.999974,262151000.0,32768000,37.0001,0,2334176
39.0001,15,63971,0.999998,167772000.0,20971520,38.0001,58,1220664
40.0001,15,64296,0.999998,157287000.0,19660800,39.0001,0,1264104
41.0001,15,64173,1,157286000.0,19660800,40.0001,0,1440760
42.0001,15,64002,1.00001,199227000.0,24903680,41.0001,0,1757872
43.0001,15,63775,0.999984,230690000.0,28835840,42.0001,0,2209648
44.0001,15,64667,1,304087000.0,38010880,43.0001,0,2823600
45.0001,15,63966,1.00003,283106000.0,35389440,44.0001,336,1592800
46.0001,15,64077,0.999967,199236000.0,24903680,45.0001,0,1617416
47.0001,15,64205,0.999994,209716000.0,26214400,46.0001,0,1740496
48.0001,15,65356,1.00001,220200000.0,27525120,47.0001,0,2008376
49.0001,15,64018,0.999998,272630000.0,34078720,48.0001,0,2418160
50.0002,15,63463,1.00008,262123000.0,32768000,49.0001,125,1440760
51.0001,15,64727,0.999924,209731000.0,26214400,50.0002,0,1465376
52.0001,15,63922,1,178257920,22282240,51.0001,0,1537776
53.0001,15,64380,1,199229440,24903680,52.0001,0,1753528
54.0001,15,64556,1.00003,220194000.0,27525120,53.0001,0,2109736
55.0001,15,67214,0.999986,283120000.0,35389440,54.0001,0,2607848
56.0001,15,64154,0.999981,188747000.0,23592960,55.0001,141,1595696
57.0001,15,64324,1,199229000.0,24903680,56.0001,0,1615968
58.0001,15,63683,1.00005,199220000.0,24903680,57.0001,0,1721672
59.0001,15,64056,0.999954,220211000.0,27525120,58.0001,0,1947560
60.0001,15,65398,1.00002,262139000.0,32768000,59.0001,0,2289288
