end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,77046,1.00007,7266110000.0,908328960,0,0,176311392
2.00009,15,76647,1.00002,9059490000.0,1132462080,1.00007,0,176946700
3.00007,15,81523,0.999975,9049440000.0,1131151360,2.00009,0,176946700
4.00025,15,77782,1.00018,9037080000.0,1129840640,3.00007,0,176946700
5.00002,15,75693,0.999768,9103750000.0,1137704960,4.00025,0,176946700
6.00007,15,75617,1.00005,9080170000.0,1135083520,5.00002,0,177626748
7.0001,15,79272,1.00002,9101440000.0,1137704960,6.00007,0,177626748
8.00006,15,80569,0.999965,9122930000.0,1140326400,7.0001,0,177626748
9.00008,15,75762,1.00002,9143400000.0,1142947840,8.00006,0,177626748
10.0002,15,75995,1.00015,9184190000.0,1148190720,9.00008,0,177626748
11.0001,15,79558,0.999842,9103080000.0,1137704960,10.0002,0,177626748
12.0001,15,77448,1.00001,9195930000.0,1149501440,11.0001,0,177626748
13.0001,15,76775,0.999986,9175170000.0,1146880000,12.0001,0,177626748
14.0001,15,77323,1.00001,9101550000.0,1137704960,13.0001,0,177626748
15.0001,15,77990,1.00005,9122130000.0,1140326400,14.0001,0,177626748
16.0001,15,77495,0.999976,9080890000.0,1135083520,15.0001,0,177626748
17.0001,15,75475,0.99996,9122980000.0,1140326400,16.0001,0,177626748
18.0001,15,76693,1.00001,9164440000.0,1145569280,17.0001,0,177626748
19.0001,15,77978,1.00004,9080260000.0,1135083520,18.0001,0,177626748
20.0001,15,80162,0.999952,8965750000.0,1120665600,19.0001,0,177626748
21.0001,15,80182,0.999998,8808060000.0,1101004800,20.0001,0,177626748
22.0001,15,78916,0.999993,8881500000.0,1110179840,21.0001,0,177626748
23.0001,15,77792,1.00001,8870860000.0,1108869120,22.0001,0,177626748
24.0001,15,80751,1.00001,8713620000.0,1089208320,23.0001,0,177626748
25.0001,15,78714,0.999995,8860510000.0,1107558400,24.0001,0,177626748
26.0001,15,80071,0.999997,8891950000.0,1111490560,25.0001,0,177626748
27.0001,15,79703,0.999992,8892000000.0,1111490560,26.0001,0,178879468
28.0001,15,79456,1.00001,8839390000.0,1104936960,27.0001,0,178879468
29.0001,15,79319,1.00001,8860400000.0,1107558400,28.0001,0,178879468
30.0001,15,79159,0.99999,8860560000.0,1107558400,29.0001,0,178879468
31,15,80602,0.999936,8829580000.0,1103626240,30.0001,0,178879468
32.0001,15,80711,1.00008,8817800000.0,1102315520,31,0,178879468
33.0002,15,78398,1.0001,8964430000.0,1120665600,32.0001,0,178879468
34.0001,15,78435,0.999873,9008410000.0,1125908480,33.0002,0,178879468
35.0001,15,79673,1,8975810560,1121976320,34.0001,0,178879468
36.0001,15,80489,1.00001,8839450000.0,1104936960,35.0001,0,178879468
37.0001,15,81188,1.00001,8650700000.0,1081344000,36.0001,0,178879468
38.0001,15,81939,0.999998,8661250000.0,1082654720,37.0001,0,178879468
39.0001,15,79931,1,8713630000.0,1089208320,38.0001,0,178879468
40.0001,15,79670,0.999995,8829050000.0,1103626240,39.0001,0,178879468
41.0001,15,81287,1.00002,8786860000.0,1098383360,40.0001,0,178879468
42.0001,15,80504,0.999987,8619410000.0,1077411840,41.0001,0,178879468
43.0001,15,82036,0.999993,8566930000.0,1070858240,42.0001,0,178879468
44.0001,15,81488,0.999994,8577400000.0,1072168960,43.0001,0,178879468
45.0001,15,83249,0.999994,8514490000.0,1064304640,44.0001,0,178879468
46.0001,15,81850,1,8535380000.0,1066926080,45.0001,0,178879468
47.0001,15,80728,0.999999,8587850000.0,1073479680,46.0001,0,178879468
48.0001,15,80748,1.00001,8766020000.0,1095761920,47.0001,0,178879468
49.0002,15,79807,1.00013,8775410000.0,1097072640,48.0001,0,178879468
50.0001,15,78538,0.999869,8861630000.0,1107558400,49.0002,0,178879468
51.0001,15,80461,0.999999,8808050000.0,1101004800,50.0001,0,178879468
52.0001,15,79338,0.999992,8776650000.0,1097072640,51.0001,0,178879468
53.0001,15,77374,0.999997,8818550000.0,1102315520,52.0001,0,178879468
54.0001,15,78070,1.00007,9038100000.0,1129840640,53.0001,0,178879468
55.0001,15,78106,0.999936,9018330000.0,1127219200,54.0001,0,178879468
56.0001,15,77251,1,9059680000.0,1132462080,55.0001,0,178879468
57.0001,15,78585,0.999997,9049240000.0,1131151360,56.0001,0,178879468
58.0001,15,78580,1.00001,9007190000.0,1125908480,57.0001,0,178879468
59.0002,15,78543,1.00008,8975110000.0,1121976320,58.0001,0,178879468
60.0001,15,77980,0.99995,8997230000.0,1124597760,59.0002,0,178879468
