end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,48926,1.00007,4875560000.0,609484800,0,0,120994856
2.00011,15,51413,1.00005,9866660000.0,1233387520,1.00007,0,127240560
3.00007,15,51832,0.999957,9878010000.0,1234698240,2.00011,0,128332216
4.00007,15,52220,1,9888071680,1236008960,3.00007,0,129298600
5.00007,15,46165,1,8587830000.0,1073479680,4.00007,40,32919692
6.00007,15,45974,0.999999,5777660000.0,722206720,5.00007,0,33116548
7.00001,15,46149,0.999939,5767520000.0,720896000,6.00007,0,33671324
8.00008,15,45952,1.00007,5955490000.0,744488960,7.00001,0,35174588
9.00003,15,45967,0.999955,6323200000.0,790364160,8.00008,0,37635288
10.0001,15,46027,1.00004,6794510000.0,849346560,9.00003,0,41089216
11.0001,15,45943,0.999999,7528780000.0,941096960,10.0001,0,45679540
12.0001,15,46010,0.999999,8430560000.0,1053818880,11.0001,0,51468896
13.0001,15,46086,1.00004,9489200000.0,1186201600,12.0001,0,57168772
14.0001,15,46538,0.999958,9878000000.0,1234698240,13.0001,0,58045676
15.0001,15,46511,0.999994,9888130000.0,1236008960,14.0001,0,58045676
16.0001,15,46490,1,9888060000.0,1236008960,15.0001,0,58045676
17.0001,15,46318,1,9877560000.0,1234698240,16.0001,0,58045676
18.0001,15,46125,0.999998,9888090000.0,1236008960,17.0001,0,58045676
19.0001,15,46080,1.00001,9888010000.0,1236008960,18.0001,0,58045676
20.0001,15,46104,0.999989,9888180000.0,1236008960,19.0001,0,58045676
21.0001,15,46074,1.00003,8629490000.0,1078722560,20.0001,24,46314848
22.0001,15,45964,0.999968,8053320000.0,1006632960,21.0001,0,46404328
23.0001,15,45962,1.00001,8136900000.0,1017118720,22.0001,0,46771196
24.0001,15,45987,0.999998,8189400000.0,1023672320,23.0001,0,47531776
25.0001,15,45923,0.999995,8367680000.0,1045954560,24.0001,0,48712912
26.0001,15,45946,1.00001,8608710000.0,1076101120,25.0001,0,50332500
27.0001,15,45949,0.999992,8954910000.0,1119354880,26.0001,0,52408436
28.0001,15,45962,1.00004,9331960000.0,1166540800,27.0001,0,54940720
29.0001,15,46059,0.99996,9773120000.0,1221591040,28.0001,0,57115084
30.0001,15,45994,0.999999,8870960000.0,1108869120,29.0001,14,46100096
31.0001,15,46053,1,8074030000.0,1009254400,30.0001,0,46180628
32.0001,15,45970,1.00001,8042500000.0,1005322240,31.0001,0,46484860
33.0001,15,45957,0.999999,8147440000.0,1018429440,32.0001,0,47191752
34.0001,15,45940,0.999994,8304770000.0,1038090240,33.0001,0,48319200
35.0001,15,45930,0.999994,8566920000.0,1070858240,34.0001,0,49876152
36,15,45960,0.999981,8839660000.0,1104936960,35.0001,0,51871556
37.0001,15,45958,1.00003,9227190000.0,1153433600,36,0,54341204
38,15,46201,0.999976,9311580000.0,1163919360,37.0001,15,45285828
39.0001,15,45983,1.00002,7864190000.0,983040000,38,0,45366360
40.0001,15,45950,1.00001,7927190000.0,990904320,39.0001,0,45545320
41.0001,15,45967,0.999988,7979760000.0,997457920,40.0001,0,46135888
42.0001,15,45961,1.00002,8094860000.0,1011875840,41.0001,0,47129116
43.0001,15,45918,0.999999,8315220000.0,1039400960,42.0001,0,48542900
44.0001,15,45934,0.999989,8619390000.0,1077411840,43.0001,0,50404084
45.0001,15,45936,1,8965300000.0,1120665600,44.0001,0,52730564
46.0001,15,45938,1,9405690000.0,1175715840,45.0001,0,55531288
47.0001,15,45944,0.999996,6616540000.0,827064320,46.0001,127,35514612
48.0001,15,46020,0.999999,6186610000.0,773324800,47.0001,0,35630936
49.0001,15,46005,1,6228530000.0,778567680,48.0001,0,36105180
50.0001,15,45976,1.00002,6333290000.0,791674880,49.0001,0,36973136
51.0001,15,45922,1.00001,6543080000.0,817889280,50.0001,0,38252700
52.0002,15,45981,1.00014,6783360000.0,848035840,51.0001,0,39961768
53.0001,15,45927,0.999848,7131400000.0,891289600,52.0002,0,42127184
54.0001,15,46004,1,7549740000.0,943718400,53.0001,0,44766844
55.0001,15,45931,0.99999,8042660000.0,1005322240,54.0001,0,47907592
56.0001,15,45943,0.999994,8661290000.0,1082654720,55.0001,0,51585220
57.0001,15,46033,1.00001,9321790000.0,1165230080,56.0001,0,55772884
58.0001,15,46187,1,9856600000.0,1232076800,57.0001,0,57276148
59.0001,15,47336,1.00001,9877520000.0,1234698240,58.0001,0,58752568
60.0001,15,45946,1.00003,6490480000.0,811335680,59.0001,193,37733716
