end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00048,15,148791,1.00048,2515380000.0,314572800,0,0,715840
2.00006,15,144959,0.999581,818232000.0,102236160,1.00048,0,91627520
3.00006,15,195785,1,8199850000.0,1024983040,2.00006,0,483299376
4.00007,15,144853,1,8619280000.0,1077411840,3.00006,1348,290389444
5.0001,15,178304,1.00004,9258590000.0,1157365760,4.00007,0,290398392
6.00013,15,210442,1.00003,9573200000.0,1196687360,5.0001,0,290398392
7.00021,15,240776,1.00008,7737860000.0,967311360,6.00013,340,145243936
8.00007,15,144795,0.999853,9396620000.0,1174405120,7.00021,0,145306572
9.00006,15,144709,0.999994,8032140000.0,1004011520,8.00007,0,145718180
10.0001,15,144692,1.00001,8073990000.0,1009254400,9.00006,0,147140912
11.0001,15,144737,0.999999,8178900000.0,1022361600,10.0001,0,149574768
12.0001,15,144786,1.00001,8336060000.0,1042022400,11.0001,0,152858684
13.0001,15,144766,0.999988,8525030000.0,1065615360,12.0001,0,156545260
14.0001,15,144771,1,8745123840,1093140480,13.0001,0,160410796
15.0001,15,144678,1,8986290000.0,1123287040,14.0001,0,164929536
16.0001,15,144824,0.999995,9311400000.0,1163919360,15.0001,0,169108252
17.0001,15,144851,1.00001,9405680000.0,1175715840,16.0001,0,172794828
18.0001,15,144813,0.99999,9678450000.0,1209794560,17.0001,0,178065200
19.0001,15,145394,1.00001,9866980000.0,1233387520,18.0001,0,180481160
20.0001,15,152235,0.99999,9751850000.0,1218969600,19.0001,0,184579344
21.0001,15,157189,1.00001,9741150000.0,1217658880,20.0001,0,192507272
22.0001,15,162512,0.999992,9751830000.0,1218969600,21.0001,0,199522504
23.0001,15,168143,1.00003,9751490000.0,1218969600,22.0001,0,206027700
24.0001,15,174675,0.999988,9730900000.0,1216348160,23.0001,0,213776668
25,15,182259,0.999941,9720870000.0,1215037440,24.0001,0,223422612
26.0001,15,190676,1.00005,9709370000.0,1213726720,25,0,232746428
27.0001,15,198650,1,9678350000.0,1209794560,26.0001,0,242097088
28.0001,15,207413,1.00001,9667800000.0,1208483840,27.0001,0,252834688
29.0001,15,217177,1.00002,9657150000.0,1207173120,28.0001,0,263599132
30.0001,15,227151,0.999963,9615800000.0,1201930240,29.0001,0,274775184
31.0001,15,237584,1.00001,9583940000.0,1197998080,30.0001,0,286908672
32.0001,15,144796,0.999992,8157990000.0,1019740160,31.0001,246,144966548
33.0001,15,144757,1.00001,8000550000.0,1000079360,32.0001,0,145109716
34.0001,15,144787,0.999992,8032160000.0,1004011520,33.0001,0,146085048
35.0001,15,144691,1.00001,8157840000.0,1019740160,34.0001,0,148089400
36.0001,15,144732,0.999997,8273290000.0,1034158080,35.0001,0,151131720
37.0001,15,144822,0.999992,8441110000.0,1055129600,36.0001,0,155212008
38.0001,15,144775,1.00004,8702860000.0,1087897600,37.0001,0,160375004
39.0001,15,144739,0.999975,9017980000.0,1127219200,38.0001,0,166611760
40.0002,15,149351,1.00016,9267900000.0,1158676480,39.0001,0,173877536
41.0002,15,156532,0.999924,9249140000.0,1156055040,40.0002,0,181885996
42.0002,15,164672,1.00001,9216920000.0,1152122880,41.0002,0,190565556
43.0001,15,173400,0.999903,9175930000.0,1146880000,42.0002,0,199799892
44.0001,15,182311,1,9154060000.0,1144258560,43.0001,0,209633744
45.0001,15,191984,1,9101630000.0,1137704960,44.0001,0,219906048
46.0001,15,202347,0.999999,9059710000.0,1132462080,45.0001,0,230616804
47.0001,15,212389,0.999988,9038830000.0,1129840640,46.0001,0,241604948
48.0001,15,222904,1.00001,9007160000.0,1125908480,47.0001,0,253219452
49.0001,15,234178,1.00001,8975730000.0,1121976320,48.0001,0,264968176
50.0001,15,146730,0.999995,8262820000.0,1032847360,49.0001,172,162397252
51,15,144915,0.999964,9028560000.0,1128529920,50.0001,0,162450940
52.0001,15,144807,1.00003,8986050000.0,1123287040,51,0,163095196
53.0001,15,144735,1,9049190000.0,1131151360,52.0001,0,164562668
54.0002,15,144823,1.00012,9152930000.0,1144258560,53.0001,0,166862304
55.0001,15,144956,0.999873,9291560000.0,1161297920,54.0002,0,170012000
56.0001,15,148001,0.999995,9395290000.0,1174405120,55.0001,0,174002808
57,15,153560,0.999971,9322110000.0,1165230080,56.0001,0,178709456
58.0001,15,157681,1.00004,9311030000.0,1163919360,57,0,184140892
59.0001,15,163641,1.00002,9290230000.0,1161297920,58.0001,0,190225532
60.0001,15,170090,1.00002,9227270000.0,1153433600,59.0001,0,196909688
