end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00009,15,109803,1.00009,796844000.0,99614720,0,863,13556220
2.00008,15,110228,0.999988,996159000.0,124518400,1.00009,0,13636752
3.00007,15,111954,0.999988,985673000.0,123207680,2.00008,0,13905192
4.00008,15,117710,1.00002,985647000.0,123207680,3.00007,0,14683668
5.00008,15,127013,0.999998,996149000.0,124518400,4.00008,0,15900596
6.0001,15,139276,1.00001,985649000.0,123207680,5.00008,0,17466496
7.00008,15,153990,0.999987,985674000.0,123207680,6.0001,0,19327680
8.00008,15,79166,1,996147200,124518400,7.00008,14,9824904
9.00008,15,80920,1,985661440,123207680,8.00008,0,10057552
10.0001,15,87473,1,985661440,123207680,9.00008,0,10934456
11.0001,15,98446,1,996147200,124518400,10.0001,0,12348240
12.0001,15,112660,0.999998,985663000.0,123207680,11.0001,0,14146788
13.0001,15,129185,0.999998,996149000.0,124518400,12.0001,0,16240620
14.0001,15,146966,1,985658000.0,123207680,13.0001,0,18522360
15.0001,15,79174,1,985661440,123207680,14.0001,15,9807008
16.0001,15,80177,0.999981,996166000.0,124518400,15.0001,0,9932280
17.0001,15,84992,1.00002,985642000.0,123207680,16.0001,0,10576536
18.0001,15,94392,0.99998,985681000.0,123207680,17.0001,0,11829256
19.0001,15,107513,1,996146000.0,124518400,18.0001,0,13511480
20.0001,15,123233,0.999999,985662000.0,123207680,19.0001,0,15515832
21.0001,15,140731,1.00002,996129000.0,124518400,20.0001,0,17725988
22.0001,15,79024,0.999983,985678000.0,123207680,21.0001,20,9771216
23.0001,15,79924,1,985661440,123207680,22.0001,0,9887540
24.0001,15,82688,0.999994,996153000.0,124518400,23.0001,0,10290200
25.0001,15,90711,1.00001,985657000.0,123207680,24.0001,0,11346064
26.0001,15,102974,1,985661440,123207680,25.0001,0,12903016
27.0001,15,117814,1,996147200,124518400,26.0001,0,14808940
28.0001,15,134708,1,985661000.0,123207680,27.0001,0,16956460
29.0001,15,153027,0.999996,985665000.0,123207680,28.0001,0,19291888
30.0001,15,79337,1.00001,996138000.0,124518400,29.0001,11,9824904
31.0001,15,80927,1,985660000.0,123207680,30.0001,0,10057552
32.0001,15,87442,1.00006,996090000.0,124518400,31.0001,0,10934456
33.0001,15,98604,0.99994,985720000.0,123207680,32.0001,0,12357188
34.0001,15,112704,0.999998,985664000.0,123207680,33.0001,0,14164684
35.0001,15,129102,0.999998,996149000.0,124518400,34.0001,0,16240620
36.0001,15,147014,0.999999,985662000.0,123207680,35.0001,0,18531308
37.0001,15,78930,1,985661440,123207680,36.0001,13,9780164
38.0001,15,79910,1,996145000.0,124518400,37.0001,0,9905436
39.0001,15,84703,1.00001,985649000.0,123207680,38.0001,0,10576536
40.0001,15,94436,0.999986,985675000.0,123207680,39.0001,0,11829256
41.0001,15,107681,0.999999,996148000.0,124518400,40.0001,0,13520428
42.0001,15,123429,0.999996,985665000.0,123207680,41.0001,0,15515832
43,15,140868,0.999956,996191000.0,124518400,42.0001,0,17752832
44.0001,15,78976,1.00005,985613000.0,123207680,43,19,9780164
45.0001,15,79863,1.00002,985643000.0,123207680,44.0001,0,9887540
46.0001,15,82679,1.00001,996135000.0,124518400,45.0001,0,10308096
47.0001,15,90958,0.999987,985674000.0,123207680,46.0001,0,11372908
48.0001,15,103192,1.00001,985649000.0,123207680,47.0001,0,12938808
49.0001,15,118222,0.999986,996161000.0,124518400,48.0001,0,14844732
50.0001,15,135008,1,985661000.0,123207680,49.0001,0,16992252
51.0001,15,153475,1,985660000.0,123207680,50.0001,0,19327680
52.0001,15,79649,0.999999,996148000.0,124518400,51.0001,19,9860696
53.0001,15,81300,1.00001,985649000.0,123207680,52.0001,0,10084396
54.0001,15,87434,0.999988,985673000.0,123207680,53.0001,0,10943404
55.0001,15,98470,1,996147200,124518400,54.0001,0,12348240
56.0001,15,112470,1.00001,985649000.0,123207680,55.0001,0,14137840
57.0001,15,128938,0.999999,996148000.0,124518400,56.0001,0,16213776
58.0001,15,146798,0.999988,985673000.0,123207680,57.0001,0,18495516
59.0001,15,78947,1.00001,985653000.0,123207680,58.0001,13,9780164
60.0001,15,79871,1.00001,996138000.0,124518400,59.0001,0,9905436
