end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,53931,1.00007,2547850000.0,318504960,0,67,49168288
2.00008,15,50933,1,3858750000.0,482344960,1.00007,20,17882800
3.00009,15,50906,1.00002,2810140000.0,351272960,2.00008,0,17926240
4.00009,15,50895,1,2820669440,352583680,3.00009,0,18100000
5.00007,15,50970,0.999974,2873170000.0,359137280,4.00009,0,18427248
6.00008,15,50839,1.00002,2264890000.0,283115520,5.00007,11,9339600
7.0001,15,50857,1.00001,1467990000.0,183500800,6.00008,0,9370008
8.0001,15,50859,1.00001,1488970000.0,186122240,7.0001,0,9504672
9.00009,15,50973,0.99999,1499480000.0,187432960,8.0001,0,9788480
10.0001,15,50906,1,1562380000.0,195297280,9.00009,0,10208400
11.0001,15,50915,0.999999,1635780000.0,204472320,10.0001,0,10784704
12.0001,15,50809,1,1562370000.0,195297280,11.0001,17,5655888
13.0001,15,50847,0.999986,891302000.0,111411200,12.0001,0,5684848
14.0002,15,50867,1.00016,891151000.0,111411200,13.0001,0,5780416
15.0001,15,50913,0.999845,912403000.0,114032640,14.0002,0,6020784
16.0001,15,50904,1,975175680,121896960,15.0001,0,6400160
17.0001,15,50899,1.00001,1038080000.0,129761280,16.0001,0,6909856
18.0001,15,50977,1,1121970000.0,140247040,17.0001,0,7555664
19.0001,15,50892,0.999997,1247810000.0,155975680,18.0001,0,8347720
20.0001,15,50912,0.999978,1373660000.0,171704320,19.0001,0,9249824
21.0001,15,50990,0.999994,1520440000.0,190054400,20.0001,0,10277904
22.0001,15,50968,0.999991,1709190000.0,213647360,21.0001,0,11494224
23.0001,15,51451,1.00003,1887390000.0,235929600,22.0001,0,12862584
24.0001,15,50915,1.00001,1331680000.0,166461440,23.0001,2,6626048
25.0001,15,50868,0.999988,1048590000.0,131072000,24.0001,0,6669488
26.0001,15,50905,1,1048570000.0,131072000,25.0001,0,6838904
27.0001,15,51018,1.00002,1090500000.0,136314880,26.0001,0,7150224
28,15,50892,0.999949,1163980000.0,145489920,27.0001,0,7607792
29.0001,15,50895,1.00004,1226790000.0,153354240,28,0,8198576
30.0001,15,50885,1.00006,1331620000.0,166461440,29.0001,0,8912440
31.0001,15,50933,0.999955,1468070000.0,183500800,30.0001,0,9784136
32.0001,15,50878,0.99998,1593870000.0,199229440,31.0001,0,10770224
33.0001,15,50879,1,1782570000.0,222822400,32.0001,0,11905456
34.0001,15,50967,1,1960840000.0,245104640,33.0001,0,13182592
35.0001,15,50897,1,2023750000.0,252968960,34.0001,1,11046792
36.0001,15,50879,1.00001,1740620000.0,217579520,35.0001,0,11058376
37.0001,15,50976,0.999986,1730170000.0,216268800,36.0001,0,11103264
38.0001,15,50878,1,1740636160,217579520,37.0001,0,11220552
39.0001,15,50833,1,1646260000.0,205783040,38.0001,14,9023936
40.0001,15,50878,1.00001,1405080000.0,175636480,39.0001,0,9035520
41,15,50945,0.999932,1426160000.0,178257920,40.0001,0,9086200
42.0001,15,50954,1.00006,1436460000.0,179568640,41,0,9202040
43.0001,15,50926,1.00001,1447020000.0,180879360,42.0001,0,9381592
44,15,50948,0.999959,1489040000.0,186122240,43.0001,0,9624856
45.0001,15,50984,1.00004,1520370000.0,190054400,44,0,9926040
46.0001,15,50891,0.999985,1583370000.0,197918720,45.0001,0,10303968
47.0001,15,50868,1,1646260000.0,205783040,46.0001,0,10754296
48.0001,15,50874,1.00002,1730110000.0,216268800,47.0001,0,11272680
49.0001,15,50881,0.999976,1814080000.0,226754560,48.0001,0,11866360
50.0001,15,50861,1.00002,1908380000.0,238551040,49.0001,0,12523752
51.0001,15,50886,1,2023750000.0,252968960,50.0001,0,13262232
52.0001,15,50928,0.99998,2139140000.0,267386880,51.0001,0,14062976
53.0001,15,50868,1,2264920000.0,283115520,52.0001,0,14921640
54.0001,15,50836,0.999992,2086680000.0,260833280,53.0001,1,7790240
55.0001,15,50866,1.00001,1216340000.0,152043520,54.0001,0,7817752
56.0001,15,50838,1.00001,1237310000.0,154664960,55.0001,0,7922008
57.0001,15,50856,0.999992,1258300000.0,157286400,56.0001,0,8178304
58.0001,15,50937,1.00001,1300220000.0,162529280,57.0001,0,8569264
59.0001,15,50842,0.999991,1394620000.0,174325760,58.0001,0,9110816
60.0001,15,50847,1.00004,1478430000.0,184811520,59.0001,0,9782688
