end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.00007,15,68605,1.00007,870257000.0,108789760,0,2496,4264360
2.00008,15,68818,1.00001,534769000.0,66846720,1.00007,0,4273048
3.00008,15,68822,0.999998,492832000.0,61603840,2.00008,0,4300560
4.00008,15,69283,1.00001,503313000.0,62914560,3.00008,0,4390336
5.00008,15,69362,1,513802240,64225280,4.00008,0,4549616
6.00008,15,69423,0.999996,534776000.0,66846720,5.00008,0,4775504
7.00007,15,68838,0.999997,566233000.0,70778880,6.00008,0,5075240
8.00006,15,68811,0.999989,608181000.0,76021760,7.00007,0,5450272
9.00008,15,69142,1.00002,650107000.0,81264640,8.00006,0,5900600
10.0001,15,68831,0.999996,702549000.0,87818240,9.00008,0,6432016
11.0001,15,68905,0.999998,765462000.0,95682560,10.0001,0,7045968
12.0001,15,68834,0.999999,817890000.0,102236160,11.0001,200,3835752
13.0001,15,68977,1.00001,450885000.0,56360960,12.0001,0,3856024
14.0001,15,69039,1.00002,450881000.0,56360960,13.0001,0,3934216
15.0001,15,68857,0.999984,461381000.0,57671680,14.0001,0,4168792
16.0001,15,68790,0.999997,503318000.0,62914560,15.0001,0,4564096
17.0001,15,68850,1,555745000.0,69468160,16.0001,0,5123024
18.0001,15,69371,1,629144000.0,78643200,17.0001,0,5861504
19.0001,15,69326,1.00001,723511000.0,90439680,18.0001,0,6780984
20.0001,15,70521,0.999989,828384000.0,103546880,19.0001,0,7878568
21.0001,15,68911,1,723515000.0,90439680,20.0001,138,3404248
22.0001,15,68843,1,387972000.0,48496640,21.0001,0,3412936
23.0001,15,69099,0.999995,398461000.0,49807360,22.0001,0,3456376
24.0001,15,68850,0.999998,398460000.0,49807360,23.0001,0,3564976
25.0001,15,68904,1,419430400,52428800,24.0001,0,3743080
26.0001,15,68878,1,440401000.0,55050240,25.0001,0,3987792
27.0001,15,68733,0.999998,482346000.0,60293120,26.0001,0,4309248
28.0001,15,68927,1,513802000.0,64225280,27.0001,0,4701656
29.0001,15,68940,0.999999,566232000.0,70778880,28.0001,0,5175152
30.0001,15,69357,1,629144000.0,78643200,29.0001,0,5731184
31.0001,15,69954,1,692059000.0,86507520,30.0001,0,6366856
32.0001,15,69678,0.999994,765465000.0,95682560,31.0001,0,7089408
33.0001,15,69514,1.00002,754960000.0,94371840,32.0001,357,4845008
34.0001,15,69035,0.999999,608175000.0,76021760,33.0001,0,4853696
35.0001,15,68762,0.999983,555755000.0,69468160,34.0001,0,4882656
36.0001,15,68892,1,566230000.0,70778880,35.0001,0,4975328
37.0001,15,68923,1,587202560,73400320,36.0001,0,5136056
38.0001,15,68857,1,597688320,74711040,37.0001,0,5366288
39.0001,15,69554,1,639629000.0,79953920,38.0001,0,5668920
40.0001,15,69016,1.00001,671081000.0,83886080,39.0001,0,6046848
41.0001,15,69012,0.999981,713045000.0,89128960,40.0001,0,6501520
42.0001,15,69464,0.999999,775947000.0,96993280,41.0001,0,7037280
43.0001,15,68965,1.00001,807397000.0,100925440,42.0001,139,3802448
44.0001,15,68806,0.999994,461376000.0,57671680,43.0001,0,3822720
45.0001,15,68862,1,450886000.0,56360960,44.0001,0,3896568
46.0001,15,68877,0.999998,461374000.0,57671680,45.0001,0,4128248
47.0001,15,69082,1,492830720,61603840,46.0001,0,4520656
48.0001,15,68899,0.999998,545261000.0,68157440,47.0001,0,5081032
49.0001,15,70417,1.00001,545256000.0,68157440,48.0001,33,2790296
50.0001,15,92310,0.999998,262145000.0,32768000,49.0001,0,2807672
51.0001,15,120340,1,209714000.0,26214400,50.0001,0,2865592
52.0001,15,148671,1,167772160,20971520,51.0001,0,2994464
53.0001,15,100390,0.999996,199230000.0,24903680,52.0001,0,3229040
54.0001,15,134688,1.00003,230681000.0,28835840,53.0001,0,3560632
55.0001,15,165247,0.999973,188749000.0,23592960,54.0001,0,3903808
56.0001,15,193093,1,178258000.0,22282240,55.0001,0,4252776
57.0001,15,218761,1.00001,167771000.0,20971520,56.0001,0,4617672
58.0001,15,76262,0.999991,157288000.0,19660800,57.0001,36,1174328
59.0001,15,95758,1.00003,104855000.0,13107200,58.0001,0,1200392
60.0001,15,112406,1,94371500.0,11796480,59.0001,0,1301752
