end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.000148,12,69265,1.000148,236797964.18179,29604128,0,0,5356152
2.000121,12,75749,0.999973,660620677.979501,82575360,1.000148,3935,8291248
3.00021,12,101428,1.000089,650059310.141038,81264640,2.000121,0,8304280
4.00011,12,102206,0.9999,650182226.519494,81264640,3.00021,0,8363648
5.000108,12,103886,0.999998,650118360.002365,81264640,4.00011,0,8527272
6.000107,12,106642,0.999999,650117740.000591,81264640,5.000108,0,8792256
7.000126,12,111363,1.000019,650104720.236507,81264640,6.000107,0,9154256
8.000136,12,117366,1.00001,650110610.065188,81264640,7.000126,0,9604584
9.000123,12,123761,0.999987,650125645.11179,81264640,8.000136,0,10134552
10.000138,12,130454,1.000015,650107355.146672,81264640,9.000123,0,10736920
11.000123,12,138729,0.999985,650126885.146676,81264640,10.000138,0,11400104
12.000134,12,147083,1.000011,650109990.078196,81264640,11.000123,0,12119760
13.000131,12,76770,0.999997,629147400.00515,78643200,12.000134,437,6291560
14.000121,12,76904,0.99999,650123630.065189,81264640,13.000131,0,6310384
15.000193,12,78802,1.000072,650070313.37019,81264640,14.000121,0,6395816
16.000238,12,81217,1.000045,650087981.306075,81264640,15.000193,0,6615912
17.00022,12,84395,0.999982,650128745.207875,81264640,16.000238,0,6961984
18.00023,12,91023,1.00001,650110610.065188,81264640,17.00022,0,7421000
19.000255,12,97610,1.000025,650100845.407417,81264640,18.00023,0,7972688
20.000221,12,104788,0.999966,650139285.755716,81264640,19.000255,0,8606912
21.000122,12,112770,0.999901,650181451.365184,81264640,20.000221,0,9310640
22.000121,12,122414,0.999999,650117740.000591,81264640,21.000122,0,10072288
23.000222,12,132402,1.000101,650051561.611633,81264640,22.000121,0,10880272
24.000106,12,142155,0.999884,650192458.729606,81264640,23.000222,0,11731696
25.000079,12,152737,0.999973,639648745.472532,79953920,24.000106,18,12183472
26.000116,12,77079,1.000037,650092940.8993,81264640,25.000079,408,6321968
27.000211,12,77317,1.000095,650055435.853245,81264640,26.000116,0,6363960
28.000127,12,79501,0.999916,650171684.579242,81264640,27.000211,0,6533376
29.000208,12,82841,1.000081,650064424.271638,81264640,28.000127,0,6831664
30.000233,12,88599,1.000025,650101000.399694,81264640,29.000208,0,7247240
