end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
1.000139,13,68551,1.000139,237414295.880195,29680912,0,0,5335880
2.000091,13,102836,0.999952,660634539.017168,82575360,1.000139,5432,16620144
3.000225,13,69196,1.000134,492764693.846926,61603840,2.000091,1197,4165896
4.000296,13,69163,1.000071,471825789.865782,58982400,3.000225,0,4199200
5.000235,13,69204,0.999939,492860684.321733,61603840,4.000296,0,4365720
6.000219,13,69159,0.999984,513810570.135052,64225280,5.000235,0,4685728
7.000118,13,69363,0.999899,566288150.759681,70778880,6.000219,0,5166464
8.000105,13,70707,0.999987,618667952.606381,77332480,7.000118,0,5809376
9.000219,13,79850,1.000114,650043038.442637,81264640,8.000105,0,6559440
10.000246,13,88889,1.000027,650099450.480253,81264640,9.000219,0,7371768
11.000116,13,99486,0.99987,650201761.018275,81264640,10.000246,0,8230432
12.000192,13,110847,1.000076,650067678.76028,81264640,11.000116,0,9126744
13.000133,13,122119,0.999941,639669029.718347,79953920,12.000192,0,10054912
14.000134,13,133124,1.000001,650116500.000591,81264640,13.000133,0,11014936
15.000118,13,145718,0.999984,650127505.165893,81264640,14.000134,0,11990888
16.000204,13,77255,1.000086,639576312.237912,79953920,15.000118,421,6317624
17.000106,13,77028,0.999902,650180831.243067,81264640,16.000204,0,6336448
18.000121,13,78349,1.000015,650107510.142052,81264640,17.000106,0,6417536
19.000202,13,80480,1.000081,639579514.20274,79953920,18.000121,0,6633288
20.00021,13,85398,1.000008,650111850.042719,81264640,19.000202,0,6973568
21.000121,13,89733,0.999911,650175095.169562,81264640,20.00021,0,7426792
22.00012,13,96781,0.999999,650117740.000591,81264640,21.000121,0,7974136
23.00023,13,104977,1.00011,650045517.886929,81264640,22.00012,0,8604016
24.000103,13,112640,0.999873,650199745.499809,81264640,23.00023,0,9301952
25.000203,13,123005,1.0001,639567468.882555,79953920,24.000103,0,10056360
26.0002,13,132292,0.999997,650118980.005322,81264640,25.000203,0,10861448
27.000207,13,142560,1.000007,650112625.031079,81264640,26.0002,0,11709976
28.000103,13,153811,0.999896,629211006.79907,78643200,27.000207,26,11723008
29.000115,13,77362,1.000012,650109370.092386,81264640,28.000103,438,6303144
30.000227,13,77639,1.000112,650044278.162418,81264640,29.000115,0,6346584
