k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,71.873,0.093463008,6161240,0,0,3.8730000000000047,-9.906536992,5139
1,170.023,0.746608432,17302152,0,0,102.023,-9.253391568,5139
2,113.558,0.598054224,8659040,0,0,45.55800000000001,-9.401945776,5139
3,114.034,0.63824184,8679312,0,0,46.034000000000006,-9.36175816,5139
4,115.956,0.63878688,8782120,0,0,47.956,-9.36121312,5139
5,118.088,0.63933192,8980496,0,0,50.087999999999994,-9.36066808,5139
6,122.92,0.64096704,9270096,0,0,54.92,-9.35903296,5139
7,126.904,0.640422368,9646576,0,0,58.903999999999996,-9.359577632,5139
8,132.851,0.63987696,10101248,0,0,64.851,-9.36012304,5139
9,139.202,0.63878688,10629768,0,0,71.202,-9.36121312,5139
10,146.894,0.64260216,11223448,0,0,78.894,-9.35739784,5139
11,155.308,0.6431472,11875048,0,0,87.30799999999999,-9.3568528,5139
12,79.726,0.585348736,6097528,0,0,11.725999999999999,-9.414651264,5139
13,80.648,0.6376968,6117800,0,0,12.647999999999996,-9.3623032,5139
14,81.03,0.63933192,6224952,0,0,13.030000000000001,-9.36066808,5139
15,84.976,0.64096704,6462424,0,0,16.976,-9.35903296,5139
16,89.636,0.64096704,6821528,0,0,21.635999999999996,-9.35903296,5139
17,95.161,0.64096704,7284888,0,0,27.161,-9.35903296,5139
18,102.389,0.6431472,7842368,0,0,34.388999999999996,-9.3568528,5139
19,111.287,0.64260216,8473696,0,0,43.287000000000006,-9.35739784,5139
20,119.796,0.64423728,9170184,0,0,51.79600000000001,-9.35576272,5139
21,129.66,0.64478232,9923144,0,0,61.66,-9.355217679999999,5139
22,140.425,0.64369224,10719544,0,0,72.42500000000001,-9.35630776,5139
23,151.305,0.6458724,11559384,0,0,83.305,-9.3541276,5139
24,90.149,0.586245024,6109112,0,0,22.149,-9.413754976,5139
25,79.721,0.637163872,6129384,0,0,11.721000000000004,-9.362836128,5139
26,81.597,0.63987696,6194544,0,0,13.596999999999994,-9.36012304,5139
27,83.621,0.63878688,6391472,0,0,15.620999999999995,-9.36121312,5139
28,88.633,0.63987696,6712928,0,0,20.632999999999996,-9.36012304,5139
29,93.212,0.64151208,7142984,0,0,25.212000000000003,-9.35848792,5139
