k,rtt,tput,cwnd,M,U,Xl,Xt,port
0,67.912,0.000371104,28960,0,0,-0.08799999999999386,-9.999628896,5138
1,80.23,0.191487936,12798872,1,0.705,12.230000000000004,-9.808512064,5138
2,81.439,0.531814224,6814288,0,0,13.438999999999993,-9.468185776,5138
3,90.833,0.63170136,6830216,0,0,22.833,-9.36829864,5138
4,91.139,0.63279144,6905512,0,0,23.138999999999996,-9.36720856,5138
5,93.983,0.63333648,7098096,0,0,25.983000000000004,-9.36666352,5138
6,97.915,0.6349716,7403624,0,0,29.915000000000006,-9.3650284,5138
7,103.566,0.6349716,7811960,0,0,35.566,-9.3650284,5138
8,110.527,0.63551664,8310072,1,0.973,42.527,-9.36448336,5138
9,117.674,0.64532736,8895064,1,1.056,49.67400000000001,-9.35467264,5138
10,125.23,0.64696248,9551008,1,1.13,57.230000000000004,-9.35303752,5138
11,134.791,0.6485976,10269216,1,1.235,66.791,-9.3514024,5138
12,146.164,0.64641744,11032312,1,1.365,78.16399999999999,-9.35358256,5138
13,157.17,0.6485976,11844640,1,1.468,89.16999999999999,-9.3514024,5138
14,69.045,0.480374032,3042248,0,0,1.0450000000000017,-9.519625968,5138
15,69.422,0.367902,3065416,0,0,1.421999999999997,-9.632098,5138
16,69.287,0.37662264,3191392,0,0,1.2870000000000061,-9.62337736,5138
17,69.389,0.4033296,3475200,0,0,1.3889999999999958,-9.5966704,5138
18,69.284,0.44257248,3913944,0,0,1.284000000000006,-9.55742752,5138
19,69.632,0.5123376,4520656,0,0,1.632000000000005,-9.4876624,5138
20,69.88,0.59354856,5298232,0,0,1.8799999999999955,-9.40645144,5138
21,80.708,0.63824184,6177168,0,0,12.707999999999998,-9.36175816,5138
22,93.72,0.63878688,7079272,0,0,25.72,-9.36121312,5138
23,105.152,0.63987696,8011784,1,1.153,37.152,-9.36012304,5138
24,118.448,0.6513228,8979048,1,1.309,50.44799999999999,-9.348677200000001,5138
25,131.173,0.64805256,9956448,1,1.398,63.173,-9.35194744,5138
26,144.854,0.64750752,10962808,1,1.5,76.85400000000001,-9.35249248,5138
27,157.729,0.64914264,11977856,1,1.582,89.72900000000001,-9.35085736,5138
28,80.272,0.589079232,6112008,0,0,12.272000000000006,-9.410920768,5138
29,81.336,0.6322464,6139520,0,0,13.335999999999999,-9.3677536,5138
30,82.818,0.63333648,6277080,0,0,14.817999999999998,-9.36666352,5138
