end,socket,rtt,seconds,bits_per_second,bytes,start,retransmits,snd_cwnd
0.10013,15,27561,0.10013,66486633.40488,832164,0,0,187908
0.200213,15,28196,0.100083,281807414.083597,3525512,0.10013,0,903748
0.300246,15,27067,0.100033,733760730.123722,9175040,0.200213,0,3266020
0.400245,15,26388,0.099999,3040902000.0,38010880,0.300246,0,13726232
0.500215,15,26915,0.09997,7342227000.0,91750400,0.400245,317,16025868
0.600214,15,26260,0.099999,5033218000.0,62914560,0.500215,319,22763712
0.700066,15,26364,0.099852,6930853000.0,86507520,0.600214,0,22790556
0.800177,15,26306,0.100111,6912928000.0,86507520,0.700066,0,22826348
0.90021,15,26348,0.100033,6918332000.0,86507520,0.800177,0,22862140
1.000194,15,26333,0.099984,6921697000.0,86507520,0.90021,0,22897932
1.100234,15,26252,0.10004,7022653000.0,87818240,1.000194,0,22933724
1.200215,15,26389,0.099981,6921912000.0,86507520,1.100234,0,22960568
1.300211,15,26300,0.099996,7025751000.0,87818240,1.200215,0,22996360
1.400222,15,26306,0.100011,7024679000.0,87818240,1.300211,0,23032152
1.500224,15,26409,0.100002,6815604000.0,85196800,1.400222,0,23067944
1.60024,15,26289,0.100016,7129185000.0,89128960,1.500224,0,23103736
1.700216,15,26333,0.099976,7027141000.0,87818240,1.60024,0,23130580
1.800218,15,26288,0.100002,6920460000.0,86507520,1.700216,0,23166372
1.900222,15,26401,0.100004,6815474000.0,85196800,1.800218,0,23193216
2.000252,15,26360,0.10003,6918530000.0,86507520,1.900222,0,23229008
2.100254,15,26316,0.100002,7130171000.0,89128960,2.000252,0,23255852
2.200239,15,26291,0.099985,7026521000.0,87818240,2.100254,0,23309540
2.300215,15,26306,0.099976,7027141000.0,87818240,2.200239,0,23372176
2.400029,15,26409,0.099814,7038555000.0,87818240,2.300215,0,23443760
2.500247,15,26339,0.100218,7219432000.0,90439680,2.400029,0,23506396
2.600226,15,26351,0.099979,7236700000.0,90439680,2.500247,0,23595876
2.700252,15,26329,0.100026,7128454000.0,89128960,2.600226,0,23703252
2.800263,15,26303,0.100011,7129542000.0,89128960,2.700252,0,23801680
2.900231,15,26290,0.099968,7237476000.0,90439680,2.800263,0,23926952
3.000027,15,26333,0.099796,7144905000.0,89128960,2.900231,0,24061172
3.100232,15,26307,0.100205,7325002000.0,91750400,3.000027,0,24195392
3.200222,15,26299,0.09999,7340774000.0,91750400,3.100232,0,24329612
3.300251,15,26276,0.100029,7442732000.0,93061120,3.200222,0,24499624
3.400213,15,26308,0.099962,7447720000.0,93061120,3.300251,0,24669636
3.500235,15,26290,0.100022,7548081000.0,94371840,3.400213,0,24848596
3.60022,15,26311,0.099985,7446015000.0,93061120,3.500235,0,25045452
3.700048,15,26275,0.099828,7667793000.0,95682560,3.60022,0,25251256
3.800236,15,26274,0.100188,7744901000.0,96993280,3.700048,0,25457060
3.900211,15,26384,0.099975,7761394000.0,96993280,3.800236,0,25680760
4.000207,15,26316,0.099996,7759784000.0,96993280,3.900211,0,25913408
4.100238,15,26286,0.100031,7861872000.0,98304000,4.000207,0,26155004
4.200225,15,26332,0.099987,8075083000.0,100925440,4.100238,0,26423444
4.300265,15,26335,0.10004,8070810000.0,100925440,4.200225,0,26691884
4.400251,15,26275,0.099986,8075179000.0,100925440,4.300265,0,26960324
4.500175,15,26348,0.099924,8185106000.0,102236160,4.400251,0,27237712
4.600217,15,26233,0.100042,8385077000.0,104857600,4.500175,0,27541944
4.700247,15,26333,0.10003,8386097000.0,104857600,4.600217,0,27846176
4.800233,15,26244,0.099986,8494648000.0,106168320,4.700247,0,28177252
4.900228,15,26248,0.099995,8493899000.0,106168320,4.800233,0,28508328
5.000019,15,26335,0.099791,8721404000.0,108789760,4.900228,0,28848352
5.100192,15,26282,0.100173,8897504000.0,111411200,5.000019,0,29197324
5.200134,15,26255,0.099942,8813153000.0,110100480,5.100192,0,29564192
5.300234,15,26353,0.1001,9008741000.0,112721920,5.200134,0,29931060
5.400175,15,26306,0.099941,9127995000.0,114032640,5.300234,0,30333720
5.500225,15,26390,0.10005,9327665000.0,116654080,5.400175,0,30736380
5.600225,15,26357,0.1,9332335000.0,116654080,5.500225,0,31139040
5.700287,15,26297,0.100062,9431324000.0,117964800,5.600225,0,31559596
5.80029,15,26406,0.100003,9646609000.0,120586240,5.700287,0,31989100
5.900266,15,26453,0.099976,9754115000.0,121896960,5.80029,0,32427552
6.000305,15,26522,0.100039,9852771000.0,123207680,5.900266,0,32892848
6.100297,15,26894,0.099992,9857399000.0,123207680,6.000305,0,33349196
6.200234,15,27217,0.099937,9862832000.0,123207680,6.100297,0,33805544
6.300306,15,27640,0.100072,9954290000.0,124518400,6.200234,0,34279788
6.400288,15,27905,0.099982,9858387000.0,123207680,6.300306,0,34754032
6.500277,15,28440,0.099989,9857705000.0,123207680,6.400288,0,35237224
6.600238,15,28708,0.099961,9860456000.0,123207680,6.500277,0,35720416
6.700265,15,26636,0.100027,7338062000.0,91750400,6.600238,11,17913896
6.800244,15,26337,0.099979,5453732000.0,68157440,6.700265,0,17940740
6.900243,15,26386,0.099999,5452652000.0,68157440,6.800244,0,17976532
7.000236,15,26316,0.099993,5452977000.0,68157440,6.900243,0,18012324
7.100266,15,26338,0.10003,5450963000.0,68157440,7.000236,0,18039168
7.200239,15,26220,0.099973,5454070000.0,68157440,7.100266,0,18074960
7.300186,15,26286,0.099947,5560401000.0,69468160,7.200239,0,18110752
7.400217,15,26292,0.100031,5450898000.0,68157440,7.300186,0,18146544
7.500159,15,26392,0.099942,5455761000.0,68157440,7.400217,0,18173388
7.60023,15,26262,0.100071,5553512000.0,69468160,7.500159,0,18209180
7.700232,15,26298,0.100002,5557339000.0,69468160,7.60023,0,18244972
7.800197,15,26466,0.099965,5559393000.0,69468160,7.700232,0,18280764
7.900243,15,26391,0.100046,5554902000.0,69468160,7.800197,0,18316556
8.000225,15,26288,0.099982,5558452000.0,69468160,7.900243,0,18343400
8.100225,15,26308,0.1,5557458000.0,69468160,8.000225,0,18379192
8.200261,15,26230,0.100036,5660265000.0,70778880,8.100225,0,18414984
8.300266,15,26311,0.100005,5557180000.0,69468160,8.200261,0,18459724
8.400229,15,26256,0.099963,5559513000.0,69468160,8.300266,0,18531308
8.500236,15,26224,0.100007,5661911000.0,70778880,8.400229,0,18593944
8.60024,15,26297,0.100004,5662086000.0,70778880,8.500236,0,18665528
8.700206,15,26319,0.099966,5664233000.0,70778880,8.60024,0,18746060
8.800222,15,26273,0.100016,5661411000.0,70778880,8.700206,0,18844488
8.900234,15,26306,0.100012,5766472000.0,72089600,8.800222,0,18951864
9.000253,15,26405,0.100019,5766074000.0,72089600,8.900234,0,19077136
9.10026,15,26270,0.100007,5871611000.0,73400320,9.000253,0,19211356
9.200264,15,26329,0.100004,5766940000.0,72089600,9.10026,0,19345576
9.300095,15,26238,0.099831,5881960000.0,73400320,9.200264,0,19479796
9.400193,15,26237,0.100098,5971038000.0,74711040,9.300095,0,19640860
9.500205,15,26261,0.100012,5976162000.0,74711040,9.400193,0,19810872
9.600261,15,26229,0.100056,6078341000.0,76021760,9.500205,0,19989832
9.700244,15,26390,0.099983,6082776000.0,76021760,9.600261,0,20186688
9.800211,15,26344,0.099967,6083748000.0,76021760,9.700244,0,20383544
9.90028,15,26306,0.100069,6287115000.0,78643200,9.800211,0,20589348
10.000213,15,26337,0.099933,6295680000.0,78643200,9.90028,0,20813048
10.100234,15,26353,0.100021,6290127000.0,78643200,10.000213,0,21045696
10.200195,15,26350,0.099961,6398806000.0,79953920,10.100234,0,21278344
10.300277,15,26248,0.100082,6495850000.0,81264640,10.200195,0,21537836
10.400239,15,26279,0.099962,6608540000.0,82575360,10.300277,0,21815224
