rtt,randRate,controlRate,throughput,retransmits,cwnd,mss
26.215,-1,0.1,0.0,-1,12,8948
26.215,-1,0.1,0.0,-1,12,8948
26.207,-1,0.1,0.0,-1,21,8948
26.172,-1,0.1,0.0,-1,30,8948
26.165,-1,0.1,0.0,-1,41,8948
26.174,-1,0.1,0.0,-1,41,8948
26.198,-1,0.1,0.0,-1,61,8948
26.241,-1,0.1,0.0,-1,82,8948
26.241,-1,0.1,0.0,-1,82,8948
26.255,-1,0.1,0.0,-1,82,8948
26.272,-1,0.1,0.0,-1,127,8948
26.272,-1,0.1,0.0,-1,127,8948
26.277,-1,0.1,0.0,-1,218,8948
26.343,-1,0.1,0.0,-1,358,8948
26.343,-1,0.1,0.0,-1,358,8948
26.277,-1,0.1,0.0,-1,532,8948
26.719,-1,0.1,0.0,-1,720,8948
26.719,-1,0.1,0.0,-1,720,8948
26.681,-1,0.1,0.0,-1,1066,8948
27.674,-1,0.1,0.0,-1,1406,8948
27.674,-1,0.1,0.0,-1,1406,8948
27.041,-1,0.1,0.0,-1,2087,8948
27.943,-1,0.1,0.0,85,1213,8948
27.981,-1,0.1,0.0,206,1052,8948
27.966,-1,0.1,0.0,225,24,8948
27.185,-1,0.1,0.0,227,1157,8948
27.376,-1,0.1,0.0,227,1346,8948
27.219,-1,0.1,0.0,227,1346,8948
27.083,-1,0.1,0.0,524,673,8948
26.502,-1,0.1,0.0,604,673,8948
25.571,-1,0.1,0.0,734,673,8948
26.348,-1,0.1,0.0,734,673,8948
26.159,-1,0.1,0.0,734,674,8948
26.222,-1,0.11648044440115903,0.0,734,674,8948
26.206,-1,0.1,0.0,734,675,8948
26.236,-1,0.1,0.0,734,676,8948
26.214,-1,0.1,0.0,734,676,8948
26.278,-1,0.1,0.0,734,677,8948
26.189,-1,0.1,0.0,734,678,8948
26.218,-1,0.1,0.0,734,678,8948
26.443,-1,0.1,0.0,734,679,8948
26.208,-1,0.1,0.0,734,680,8948
26.312,-1,0.1,0.0,734,680,8948
26.26,-1,0.1,0.0,734,681,8948
26.256,-1,0.1,0.0,734,682,8948
26.291,-1,0.1,0.0,734,682,8948
26.245,-1,0.1,0.0,734,683,8948
26.206,-1,0.1,0.0,734,684,8948
26.257,-1,0.1,0.0,734,684,8948
26.233,-1,0.1,0.0,734,685,8948
26.177,-1,0.1,0.0,734,686,8948
26.258,-1,0.1,0.0,734,686,8948
26.227,-1,0.1,0.0,734,687,8948
26.184,-1,0.1,0.0,734,688,8948
28.121,-1,0.1,0.0,734,688,8948
26.242,-1,0.1,0.0,734,689,8948
26.224,-1,0.1,0.0,734,690,8948
27.08,-1,0.1,0.0,734,690,8948
26.205,6,0.1,0.0,734,691,8948
26.26,6,0.1,0.0,734,692,8948
26.191,6,0.1,0.0,734,693,8948
26.223,6,0.1,0.0,734,693,8948
26.239,6,0.1,0.0,734,694,8948
26.285,6,0.1,0.0,734,695,8948
26.186,6,0.1,0.0,734,695,8948
26.201,6,0.1,0.0,734,696,8948
26.196,6,0.1,0.0,734,697,8948
27.617,6,0.1,0.0,734,697,8948
26.229,6,0.1,0.0,734,698,8948
26.2,6,0.1,0.0,734,699,8948
26.182,6,0.1,0.0,734,699,8948
26.244,6,0.1,0.0,734,700,8948
26.224,6,0.1,0.0,734,701,8948
26.266,6,0.1,0.0,734,701,8948
26.172,6,0.1,0.0,734,702,8948
26.233,6,0.1,0.0,734,703,8948
26.292,6,0.1,0.0,734,703,8948
26.247,6,0.1,0.0,734,704,8948
26.165,6,0.1,0.0,734,705,8948
26.294,6,0.1,0.0,734,705,8948
26.266,6,0.1,0.0,734,706,8948
26.252,6,0.1,0.0,734,707,8948
26.284,6,0.1,0.0,734,708,8948
26.342,6,0.1,0.0,734,708,8948
26.239,6,0.1,0.0,734,709,8948
26.186,6,0.1,0.0,734,710,8948
27.297,6,0.1,0.0,734,710,8948
26.236,6,0.1,0.0,734,711,8948
26.306,6,0.1,0.0,734,712,8948
26.241,6,0.1,0.0,734,712,8948
26.214,6,0.1,0.0,734,713,8948
26.201,6,0.1,0.0,734,714,8948
26.358,6,0.1,0.0,734,714,8948
26.248,6,0.1,0.0,734,715,8948
26.274,6,0.1,0.0,734,716,8948
26.225,6,0.1,0.0,734,716,8948
26.215,6,0.1,0.0,734,717,8948
26.198,6,0.1,0.0,734,718,8948
26.261,6,0.1,0.0,734,718,8948
27.317,6,0.1,0.0,734,719,8948
26.183,6,0.1,0.0,734,720,8948
26.247,6,0.1,0.0,734,720,8948
27.358,6,0.1,0.0,734,721,8948
26.314,6,0.1,0.0,734,722,8948
26.195,6,0.1,0.0,734,723,8948
26.25,6,0.1,0.0,734,723,8948
26.252,6,0.1,0.0,734,724,8948
26.243,6,0.1,0.0,734,725,8948
26.37,6,0.1,0.0,734,725,8948
26.219,6,0.1,0.0,734,726,8948
26.185,6,0.1,0.0,734,727,8948
26.29,6,0.1,0.0,734,727,8948
26.199,6,0.1,0.0,734,728,8948
26.227,6,0.1,0.0,734,729,8948
26.277,6,0.1,0.0,734,729,8948
26.286,6,0.1,0.0,734,730,8948
26.236,6,0.1,0.0,734,731,8948
26.237,6,0.1,0.0,734,731,8948
27.185,6,0.1,0.0,734,732,8948
26.19,6,0.1,0.0,734,733,8948
26.293,6,0.1,0.0,734,733,8948
27.442,6,0.1,0.0,734,734,8948
26.227,6,0.1,0.0,734,736,8948
26.227,6,0.1,0.0,734,737,8948
26.262,6,0.1,0.0,734,738,8948
26.203,6,0.1,0.0,734,740,8948
26.208,6,0.1,0.0,734,742,8948
26.35,6,0.1,0.0,734,742,8948
26.182,6,0.1,0.0,734,744,8948
26.19,6,0.1,0.0,734,746,8948
26.169,6,0.1,0.0,734,746,8948
26.225,6,0.1,0.0,734,748,8948
26.24,6,0.1,0.0,734,750,8948
26.256,6,0.1,0.0,734,751,8948
26.569,6,0.1,0.0,734,752,8948
26.289,6,0.1,0.0,734,753,8948
26.186,6,0.1,0.0,734,755,8948
26.891,6,0.1,0.0,734,755,8948
26.202,6,0.1,0.0,734,757,8948
26.208,6,0.1,0.0,734,759,8948
26.46,6,0.1,0.0,734,759,8948
27.103,6,0.1,0.0,734,761,8948
26.271,6,0.1,0.0,734,764,8948
26.213,6,0.1,0.0,734,765,8948
26.26,6,0.1,0.0,734,767,8948
26.234,6,0.1,0.0,734,770,8948
26.22,6,0.1,0.0,734,771,8948
26.194,6,0.1,0.0,734,773,8948
26.185,6,0.1,0.0,734,776,8948
26.245,6,0.1,0.0,734,777,8948
26.154,6,0.1,0.0,734,779,8948
26.206,6,0.1,0.0,734,782,8948
26.232,6,0.1,0.0,734,783,8948
26.786,6,0.1,0.0,734,785,8948
26.28,6,0.1,0.0,734,788,8948
26.141,6,0.1,0.0,734,790,8948
26.751,6,0.1,0.0,734,791,8948
26.272,6,0.1,0.0,734,793,8948
26.245,6,0.1,0.0,734,797,8948
26.439,6,0.1,0.0,734,798,8948
26.806,6,0.1,0.0,734,801,8948
26.268,6,0.1,0.0,734,805,8948
26.242,6,0.1,0.0,734,806,8948
27.136,6,0.1,0.0,734,809,8948
26.149,6,0.1,0.0,734,813,8948
26.365,6,0.1,0.0,734,814,8948
26.963,6,0.1,0.0,734,817,8948
26.295,6,0.1,0.0,734,821,8948
26.24,6,0.1,0.0,734,822,8948
26.699,6,0.1,0.0,734,825,8948
26.293,6,0.1,0.0,734,828,8948
26.215,6,0.1,0.0,734,830,8948
26.885,6,0.1,0.0,734,832,8948
26.34,6,0.1,0.0,734,836,8948
26.207,6,0.1,0.0,734,838,8948
26.513,6,0.1,0.0,734,840,8948
26.484,6,0.1,0.0,734,844,8948
26.303,6,0.1,0.0,734,846,8948
26.404,6,0.1,0.0,734,848,8948
26.276,6,0.1,0.0,734,853,8948
26.23,6,0.1,0.0,734,856,8948
26.578,6,0.1,0.0,734,858,8948
26.361,6,0.1,0.0,734,862,8948
26.275,6,0.1,0.0,734,866,8948
26.531,6,0.1,0.0,734,867,8948
26.256,6,0.1,0.0,734,872,8948
26.178,6,0.1,0.0,734,877,8948
26.368,6,0.1,0.0,734,877,8948
26.403,6,0.1,0.0,734,882,8948
26.297,6,0.1,0.0,734,886,8948
26.331,6,0.1,0.0,734,887,8948
26.502,6,0.1,0.0,734,892,8948
26.22,6,0.1,0.0,734,893,8948
26.263,6,0.1,0.0,734,895,8948
26.787,6,0.1,0.0,786,647,8948
26.286,6,0.1,0.0,929,455,8948
24.95,6,0.1,0.0,929,448,8948
26.46,6,0.1,0.0,929,449,8948
26.229,6,0.1,0.0,929,450,8948
26.217,6,0.1,0.0,929,450,8948
26.23,6,0.1,0.0,929,451,8948
26.21,6,0.1,0.0,929,452,8948
26.26,6,0.1,0.0,929,452,8948
27.07,6,0.1,0.0,929,453,8948
26.29,6,0.1,0.0,929,454,8948
26.251,6,0.1,0.0,929,454,8948
26.701,6,0.1,0.0,929,455,8948
26.372,6,0.1,0.0,929,456,8948
26.208,6,0.1,0.0,929,456,8948
26.22,6,0.1,0.0,929,457,8948
26.225,6,0.1,0.0,929,458,8948
26.221,6,0.1,0.0,929,458,8948
26.248,6,0.1,0.0,929,459,8948
26.244,6,0.1,0.0,929,460,8948
26.257,6,0.1,0.0,929,461,8948
26.254,6,0.1,0.0,929,461,8948
26.215,6,0.1,0.0,929,462,8948
26.205,6,0.1,0.0,929,463,8948
26.238,6,0.1,0.0,929,463,8948
26.259,6,0.1,0.0,929,464,8948
26.177,6,0.1,0.0,929,464,8948
26.193,6,0.1,0.0,929,465,8948
26.624,6,0.1,0.0,929,466,8948
26.23,6,0.1,0.0,929,467,8948
26.258,6,0.1,0.0,929,467,8948
26.575,6,0.1,0.0,929,468,8948
26.242,6,0.1,0.0,929,469,8948
26.361,6,0.1,0.0,929,469,8948
26.24,6,0.1,0.0,929,470,8948
26.569,6,0.1,0.0,929,471,8948
26.248,6,0.1,0.0,929,471,8948
26.309,6,0.1,0.0,929,472,8948
26.266,6,0.1,0.0,929,473,8948
26.171,6,0.1,0.0,929,473,8948
26.294,6,0.1,0.0,929,474,8948
26.251,6,0.1,0.0,929,475,8948
26.451,6,0.1,0.0,929,475,8948
26.228,6,0.1,0.0,929,476,8948
26.329,6,0.1,0.0,929,476,8948
26.298,6,0.1,0.0,929,477,8948
