end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.999949",50.088,50.188000000000002,50.088,0.1,149.52,-1,16,8948,43321,5650
"-1 day, 23:59:59.984997",50.088,100.22600000000001,50.088,0.1,149.52,-1,16,8948,43321,5650
"-1 day, 23:59:59.970552",50.088,125.245,50.088,0.1,149.52,-1,16,8948,43321,5650
"-1 day, 23:59:59.956127",51.615,139.28722761634694,62.30400000000001,0.1,149.52,-1,22,8948,43321,5650
"-1 day, 23:59:59.939737",52.792,181.1103995896448,61.031,34.35,0.0,-1,32,8948,43321,5650
"-1 day, 23:59:59.924926",52.792,88.631573707273247,52.792,0.1,0.0,-1,32,8948,43321,5650
"-1 day, 23:59:59.910257",52.365,71.549046949597113,49.376000000000005,0.1,0.0,-1,36,8948,43321,5650
"-1 day, 23:59:59.895519",52.238,63.480290957345424,51.34899999999998,0.1,0.0,-1,48,8948,43321,5650
"-1 day, 23:59:59.880351",51.807,58.372633536594961,48.79000000000002,0.1,0.0,-1,64,8948,43321,5650
"-1 day, 23:59:59.865668",51.807,56.321345247488125,51.807,1.7559531049260597,0.0,-1,64,8948,43321,5650
"-1 day, 23:59:59.851273",51.093,53.302224789332605,46.09500000000001,1.6439456745921972,0.0,-1,84,8948,43321,5650
"-1 day, 23:59:59.835988",51.01,52.110133182681395,50.42899999999996,1.7935544853862244,0.0,-1,110,8948,43321,5650
"-1 day, 23:59:59.821180",51.201,51.62527712702898,52.53800000000002,2.2217993851986098,0.0,-1,128,8948,43321,5650
"-1 day, 23:59:59.806697",50.471,51.020012043133384,45.36099999999997,2.4660956780622119,0.0,-1,148,8948,43321,5650
"-1 day, 23:59:59.789964",50.481,50.740209546169829,50.55100000000004,2.8892754143338366,8512.992,-1,204,8948,43321,5650
"-1 day, 23:59:59.775103",50.661,50.695339735628437,51.921,3.0114915681107206,8512.992,-1,256,8948,43321,5650
"-1 day, 23:59:59.760269",50.23,50.46130938570046,47.212999999999965,3.1769245357248783,8512.992,-1,275,8948,43321,5650
"-1 day, 23:59:59.745317",50.236,50.348144461442736,50.278,3.6165290358978179,8512.992,-1,367,8948,43321,5650
"-1 day, 23:59:59.730621",50.305,50.326217498673891,50.78800000000002,3.6114550641044523,8512.992,-1,486,8948,43321,5650
"-1 day, 23:59:59.715863",50.325,50.325533392330811,50.465000000000025,3.6950498446519,8512.992,-1,512,8948,43321,5650
"-1 day, 23:59:59.700981",50.19,50.257743686505705,49.24499999999996,3.9766999606518425,8512.992,-1,653,8948,43321,5650
"-1 day, 23:59:59.686085",50.242,50.249851433098321,50.605999999999995,3.926208484213459,8512.992,-1,870,8948,43321,5650
"-1 day, 23:59:59.671526",50.21,50.229922449299416,49.986000000000026,3.8927957098525656,8512.992,-1,1024,8948,43321,5650
"-1 day, 23:59:59.656628",50.135,50.182462359261947,49.60999999999998,3.9179784788346215,8512.992,-1,1176,8948,43321,5650
"-1 day, 23:59:59.639560",50.259,50.220731954540305,51.12700000000002,4.00538328087113,0.0,-1,1623,8948,43321,5650
