end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.998061",50.131,50.231000000000002,50.131,0.1,4.704,-1,16,8948,57018,5648
"-1 day, 23:59:59.981647",50.131,100.312,50.131,0.1,4.704,-1,16,8948,57018,5648
"-1 day, 23:59:59.964389",50.131,125.35250000000001,50.131,0.1,4.704,-1,16,8948,57018,5648
"-1 day, 23:59:59.944936",51.661,139.40849920541632,62.37100000000001,0.1,724.536,-1,22,8948,57018,5648
"-1 day, 23:59:59.927071",52.822,181.22530066642418,60.94900000000001,34.35,724.536,-1,32,8948,57018,5648
"-1 day, 23:59:59.910786",52.822,88.69955602172837,52.822,0.1,724.536,-1,32,8948,57018,5648
"-1 day, 23:59:59.893431",52.249,71.525706813492604,48.238,0.1,724.536,-1,40,8948,57018,5648
"-1 day, 23:59:59.875884",51.949,63.335931901522841,49.84899999999997,0.1,724.536,-1,58,8948,57018,5648
"-1 day, 23:59:59.858114",51.85,58.268646192520329,51.157000000000025,0.1,724.536,-1,64,8948,57018,5648
"-1 day, 23:59:59.842599",51.201,56.002634575272992,46.657999999999994,1.8619840730269579,724.536,-1,81,8948,57018,5648
"-1 day, 23:59:59.825186",51.546,53.296088679910568,53.96099999999999,1.8536369433500015,724.536,-1,102,8948,57018,5648
"-1 day, 23:59:59.807982",52.177,52.650635146927065,56.594,2.2673486896808597,724.536,-1,126,8948,57018,5648
"-1 day, 23:59:59.790825",52.069,52.300781375869427,51.313000000000024,2.5787012233863074,724.536,-1,146,8948,57018,5648
"-1 day, 23:59:59.773379",51.129,51.692646322450919,44.548999999999964,2.6054775174514284,0.0,-1,204,8948,57018,5648
"-1 day, 23:59:59.757474",50.343,51.01337425554317,44.841000000000044,1.8410306681634718,0.0,-1,256,8948,57018,5648
"-1 day, 23:59:59.740009",50.252,50.637903889651263,49.614999999999995,1.4964538635128826,0.0,-1,292,8948,57018,5648
"-1 day, 23:59:59.724365",51.053,50.849131000433246,56.65999999999996,2.2703353095726584,0.0,-1,391,8948,57018,5648
"-1 day, 23:59:59.706874",50.127,50.486928094142989,43.64500000000004,3.3140935252831443,0.0,-1,506,8948,57018,5648
"-1 day, 23:59:59.689479",50.107,50.295710025897122,49.96699999999998,3.6630766139003805,0.0,-1,585,8948,57018,5648
"-1 day, 23:59:59.673836",50.274,50.284528627289859,51.44300000000001,3.5367676033189182,0.0,-1,782,8948,57018,5648
"-1 day, 23:59:59.656264",50.14,50.212220262776484,49.202,3.3980835422576479,0.0,-1,1014,8948,57018,5648
"-1 day, 23:59:59.640856",50.123,50.167609035878833,50.00399999999998,4.0314926683209658,0.0,-1,1177,8948,57018,5648
"-1 day, 23:59:59.623237",50.17,50.16878585407899,50.49900000000003,3.9954943309602915,0.0,-1,1522,8948,57018,5648
"-1 day, 23:59:59.605767",50.217,50.192889702590016,50.54599999999998,3.9531760391303767,38092.032,-1,2048,8948,57018,5648
"-1 day, 23:59:59.588571",50.227,50.209944441213736,50.29699999999998,4.0577278779555552,38092.032,-1,2368,8948,57018,5648
"-1 day, 23:59:59.572955",50.381,50.295476861783385,51.459000000000024,4.0625624844654169,38092.032,-1,3157,8948,57018,5648
"-1 day, 23:59:59.555642",50.573,50.434251548712979,51.917,4.0509463794305791,38092.032,-1,4001,8948,57018,5648
"-1 day, 23:59:59.537780",50.218,50.326133743186865,47.733000000000025,3.9585163470722673,38092.032,-1,4730,8948,57018,5648
"-1 day, 23:59:59.520593",50.564,50.445076786467396,52.985999999999976,3.8474630606110938,38092.032,-1,5549,8948,57018,5648
"-1 day, 23:59:59.503771",50.561,50.503040978940554,50.54,3.751539702470359,38092.032,-1,5549,8948,57018,5648
"-1 day, 23:59:59.487463",50.554,50.528521112193516,50.50500000000002,3.7163173300911003,38092.032,-1,5549,8948,57018,5648
"-1 day, 23:59:59.469793",50.618,50.573262090593779,51.066,3.819500429646558,38092.032,-1,5549,8948,57018,5648
