end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.999950",29.174,29.274000000000001,29.174,0.1,0.0,-1,12,8948,51133,5657
"-1 day, 23:59:59.985769",29.174,58.397999999999996,29.174,0.1,0.0,-1,12,8948,51133,5657
"-1 day, 23:59:59.971538",29.759,73.692930218653302,33.854000000000006,0.1,0.0,-1,18,8948,51133,5657
"-1 day, 23:59:59.956841",30.705,82.151040517232815,37.326999999999984,0.1,0.0,-1,24,8948,51133,5657
"-1 day, 23:59:59.942565",30.812,94.719398022023995,31.56100000000002,8.5548878762178422,0.0,-1,32,8948,51133,5657
"-1 day, 23:59:59.928541",30.659,55.420896755147581,29.587999999999983,0.1,0.0,-1,48,8948,51133,5657
"-1 day, 23:59:59.914275",30.253,43.763834085288451,27.41100000000001,0.1,0.0,-1,60,8948,51133,5657
"-1 day, 23:59:59.900033",30.322,37.710806314840362,30.804999999999993,0.1,0.0,-1,96,8948,51133,5657
"-1 day, 23:59:59.884819",29.837,34.541382195633702,26.442000000000004,0.95404733403410102,5919.528,-1,120,8948,51133,5657
"-1 day, 23:59:59.870540",29.96,31.853238904952683,30.82100000000001,0.7671413648188028,5919.528,-1,188,8948,51133,5657
"-1 day, 23:59:59.856357",29.465,30.689855494186453,25.999999999999993,1.0758879788863702,5919.528,-1,230,8948,51133,5657
"-1 day, 23:59:59.842149",29.627,30.083152447797708,30.760999999999992,1.1047900677847287,5919.528,-1,361,8948,51133,5657
"-1 day, 23:59:59.828231",29.38,29.714284092918451,27.651,1.4204958632294076,5919.528,-1,443,8948,51133,5657
"-1 day, 23:59:59.814127",29.334,29.508520956761416,29.012000000000004,1.4748249161150004,5919.528,-1,698,8948,51133,5657
"-1 day, 23:59:59.800037",29.352,29.426497525123544,29.478000000000005,1.7633528710769995,5919.528,-1,848,8948,51133,5657
"-1 day, 23:59:59.786036",29.333,29.377341174082282,29.199999999999985,1.7668056487473378,5919.528,-1,1336,8948,51133,5657
"-1 day, 23:59:59.772024",29.375,29.375673171873459,29.66900000000001,1.9481948006976952,5919.528,-1,1627,8948,51133,5657
