end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.998032",29.185,29.285,29.185,0.1,438.096,-1,14,8948,55614,5656
"-1 day, 23:59:59.982061",30.149,59.880269080377495,36.89700000000002,0.1,438.096,-1,18,8948,55614,5656
"-1 day, 23:59:59.966572",30.425,75.276789087745868,32.357,0.1,438.096,-1,22,8948,55614,5656
"-1 day, 23:59:59.951037",30.908,83.395962256153538,34.289,0.1,438.096,-1,36,8948,55614,5656
"-1 day, 23:59:59.935027",30.506,97.900612276484253,27.691999999999993,10.958479713481928,438.096,-1,44,8948,55614,5656
"-1 day, 23:59:59.919554",30.682,55.372554686870217,31.913999999999987,0.1,438.096,-1,66,8948,55614,5656
"-1 day, 23:59:59.903578",31.031,43.532549244590093,33.474000000000004,0.1,438.096,-1,84,8948,55614,5656
"-1 day, 23:59:59.887720",30.179,37.0603729909107,24.214999999999996,0.1,438.096,-1,136,8948,55614,5656
"-1 day, 23:59:59.871643",31.642,34.812129199131718,41.88300000000001,0.78093335048478951,438.096,-1,156,8948,55614,5656
"-1 day, 23:59:59.854712",34.115,34.484600960022505,51.426000000000016,1.0097139593971141,0.0,-1,168,8948,55614,5656
"-1 day, 23:59:59.838588",35.623,34.929977661889012,46.17899999999997,1.0578421885091531,0.0,-1,190,8948,55614,5656
"-1 day, 23:59:59.822502",30.175,32.5376324474245,-7.960999999999977,0.14507027275241649,0.0,-1,334,8948,55614,5656
"-1 day, 23:59:59.806571",29.692,33.840394666953529,26.310999999999996,0.1,0.0,-1,404,8948,55614,5656
"-1 day, 23:59:59.790661",30.598,33.512908976898586,36.93999999999999,0.1,0.0,-1,634,8948,55614,5656
"-1 day, 23:59:59.774578",38.131,34.756481393920055,90.86200000000001,1.2891557331228984,0.0,-1,646,8948,55614,5656
"-1 day, 23:59:59.759081",42.922,38.78158148627071,76.45899999999997,6.1284562255153521,0.0,-1,646,8948,55614,5656
"-1 day, 23:59:59.743246",47.447,43.088335231620512,79.12200000000004,4.729697209475856,0.0,-1,662,8948,55614,5656
"-1 day, 23:59:59.727462",30.753,38.183631012529894,-86.10500000000002,0.1,0.0,-1,886,8948,55614,5656
"-1 day, 23:59:59.711828",30.145,43.51162771178317,25.888999999999996,0.1,0.0,-1,1303,8948,55614,5656
"-1 day, 23:59:59.694712",29.421,39.479255796024837,24.352999999999998,0.1,52232.256,-1,1933,8948,55614,5656
"-1 day, 23:59:59.678817",38.959,35.676634276584828,105.72500000000002,1.1870287137858948,52232.256,-1,1988,8948,55614,5656
"-1 day, 23:59:59.662628",46.81,41.251474667233317,101.767,15.155517367924935,52232.256,-1,1992,8948,55614,5656
"-1 day, 23:59:59.647169",47.841,44.441104035888344,55.05799999999999,15.174410724480573,52232.256,-1,1996,8948,55614,5656
"-1 day, 23:59:59.631365",30.853,37.652112709045539,-88.06299999999999,8.9533998541788691,52232.256,-1,2218,8948,55614,5656
"-1 day, 23:59:59.615220",31.369,37.924182443341273,34.98099999999999,0.1,52232.256,-1,3209,8948,55614,5656
"-1 day, 23:59:59.599386",29.396,37.790741165845603,15.585000000000008,0.1,52232.256,180,2296,8948,55614,5656
"-1 day, 23:59:59.583780",31.56,31.81807219229426,46.707999999999984,2.3004962819968497,52232.256,202,462,8948,55614,5656
"-1 day, 23:59:59.568243",31.888,31.855407300590446,34.184000000000026,13.581010889169111,52232.256,224,140,8948,55614,5656
"-1 day, 23:59:59.552461",31.888,31.859103535423131,31.888,13.881773111433171,52232.256,246,140,8948,55614,5656
"-1 day, 23:59:59.535100",29.903,30.880451479784099,16.007999999999978,14.02629535036311,0.0,973,1688,8948,55614,5656
"-1 day, 23:59:59.519633",31.807,31.343618207400695,45.135,12.435040917735535,0.0,973,1688,8948,55614,5656
"-1 day, 23:59:59.504097",31.349,31.346310287739406,28.14300000000001,12.649152803125654,0.0,1232,1425,8948,55614,5656
"-1 day, 23:59:59.487755",29.303,30.324793664809977,14.981000000000005,12.80833473033133,0.0,1367,1294,8948,55614,5656
"-1 day, 23:59:59.471799",29.621,29.972910151286246,31.846999999999984,13.035747083584544,0.0,1367,1271,8948,55614,5656
"-1 day, 23:59:59.455896",29.447,29.709961884362968,28.229000000000003,12.127387740383007,0.0,1367,1098,8948,55614,5656
"-1 day, 23:59:59.440080",29.314,29.511988307782435,28.383000000000006,13.045046337725472,0.0,1367,844,8948,55614,5656
"-1 day, 23:59:59.424429",29.331,29.421494271492804,29.449999999999996,14.199565748056811,0.0,1367,844,8948,55614,5656
"-1 day, 23:59:59.408465",30.02,29.720756836621227,34.843,14.18865358163594,0.0,1367,845,8948,55614,5656
"-1 day, 23:59:59.392249",29.477,29.598879607458052,25.676000000000005,14.397598825987226,0.0,1367,845,8948,55614,5656
"-1 day, 23:59:59.374564",29.508,29.553439809739782,29.72499999999999,14.332941503346486,555292.368,1367,846,8948,55614,5656
"-1 day, 23:59:59.359075",29.478,29.515720015885098,29.26800000000002,14.109852687630456,555292.368,1367,846,8948,55614,5656
"-1 day, 23:59:59.343230",29.238,29.376862133491507,27.557999999999986,13.814849920023025,555292.368,1367,847,8948,55614,5656
"-1 day, 23:59:59.327559",29.332,29.354431164436892,29.99000000000001,14.109813538635203,555292.368,1367,847,8948,55614,5656
