end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.999952",69.589,69.688999999999993,69.589,0.1,0.0,2851,3464,8948,42121,5382
"-1 day, 23:59:59.985601",69.497,139.09012691634831,68.85300000000001,0.1,0.0,2851,3464,8948,42121,5382
"-1 day, 23:59:59.970934",69.598,173.93970766746762,70.30499999999999,0.1,0.0,2851,3464,8948,42121,5382
"-1 day, 23:59:59.956424",69.757,225.72360554078284,70.87000000000005,34.35,0.0,2851,3464,8948,42121,5382
"-1 day, 23:59:59.941946",69.771,187.59479639130913,69.86899999999997,0.1,0.0,2851,3464,8948,42121,5382
"-1 day, 23:59:59.927702",69.628,128.63436503727485,68.627,0.1,0.0,2851,3465,8948,42121,5382
"-1 day, 23:59:59.913525",69.54,99.246788738853454,68.92400000000005,0.1,0.0,2851,3465,8948,42121,5382
"-1 day, 23:59:59.899039",69.644,84.535112501763237,70.372,0.1,0.0,2851,3465,8948,42121,5382
"-1 day, 23:59:59.883460",69.76,82.516966982087851,70.572,6.3778709184755256,3318560.28,2851,3465,8948,42121,5382
"-1 day, 23:59:59.869290",69.724,71.713201462146216,69.472,1.4350741947186483,3318560.28,2851,3465,8948,42121,5382
"-1 day, 23:59:59.855061",69.676,71.18777999684346,69.33999999999999,1.9936682165326107,3318560.28,2851,3466,8948,42121,5382
"-1 day, 23:59:59.841418",69.618,70.511021742717332,69.21199999999995,1.9795560544231585,3318560.28,2851,3466,8948,42121,5382
"-1 day, 23:59:59.827017",69.733,70.15653407668556,70.53800000000007,1.9629349083265821,3318560.28,2851,3466,8948,42121,5382
"-1 day, 23:59:59.812366",69.736,69.956962656723249,69.757,2.048506947296723,3318560.28,2851,3466,8948,42121,5382
"-1 day, 23:59:59.797388",69.749,69.853138646302313,69.83999999999993,2.0943661711433665,3318560.28,2851,3466,8948,42121,5382
"-1 day, 23:59:59.783067",69.775,69.813404975182834,69.95700000000008,2.0898062146279872,3318560.28,2851,3467,8948,42121,5382
"-1 day, 23:59:59.768102",69.638,69.725588016933372,68.679,1.9850008676336397,3318560.28,2851,3467,8948,42121,5382
"-1 day, 23:59:59.753612",69.761,69.743662050695363,70.62199999999993,1.971507134600605,3318560.28,2851,3467,8948,42121,5382
"-1 day, 23:59:59.737402",69.779,69.7614536866664,69.905,1.990127894600072,890978.4,2851,3467,8948,42121,5382
"-1 day, 23:59:59.723257",69.518,69.639761267691739,67.69100000000003,1.9814900791290793,890978.4,2851,3467,8948,42121,5382
"-1 day, 23:59:59.708989",69.702,69.670889398586596,70.98999999999998,2.0174201538817385,890978.4,2851,3468,8948,42121,5382
"-1 day, 23:59:59.694673",69.739,69.704938925581558,69.99800000000005,1.986612353343495,890978.4,2851,3468,8948,42121,5382
"-1 day, 23:59:59.680402",69.739,69.721971961741417,69.739,2.0654751747071454,890978.4,2851,3468,8948,42121,5382
"-1 day, 23:59:59.666007",69.774,69.747982446432289,70.01899999999998,2.1781310396156957,890978.4,2851,3468,8948,42121,5382
"-1 day, 23:59:59.651891",69.539,69.643501387558942,67.894,1.9966985665192369,890978.4,2851,3468,8948,42121,5382
"-1 day, 23:59:59.638178",69.707,69.675253864355014,70.88299999999994,1.9549623926527886,890978.4,2851,3469,8948,42121,5382
"-1 day, 23:59:59.623797",69.721,69.698128518973391,69.81900000000007,2.0004474508628323,890978.4,2851,3469,8948,42121,5382
"-1 day, 23:59:59.609495",69.792,69.745067363618006,70.28899999999999,2.0633977481329548,890978.4,2851,3469,8948,42121,5382
"-1 day, 23:59:59.593614",69.793,69.769034309200705,69.80000000000004,2.1719163680909905,0.0,2851,3469,8948,42121,5382
"-1 day, 23:59:59.579285",69.707,69.738018248302922,69.1049999999999,2.0158841594510335,0.0,2851,3470,8948,42121,5382
"-1 day, 23:59:59.565207",69.752,69.745009263410566,70.06700000000001,1.96796121778873,0.0,2851,3470,8948,42121,5382
"-1 day, 23:59:59.550830",69.744,69.74450467282945,69.68800000000003,1.9324751606798025,0.0,2851,3470,8948,42121,5382
"-1 day, 23:59:59.536048",69.834,69.78925521096491,70.46400000000003,1.9736187449198046,0.0,2851,3470,8948,42121,5382
"-1 day, 23:59:59.521974",69.871,69.830129987126639,70.12999999999994,2.0355004430169084,0.0,2851,3470,8948,42121,5382
"-1 day, 23:59:59.507881",69.714,69.772069691107205,68.61500000000002,1.9749843125925028,0.0,2851,3471,8948,42121,5382
"-1 day, 23:59:59.493797",70.058,69.915063770139895,72.46600000000007,1.9579566606669077,0.0,2851,3471,8948,42121,5382
"-1 day, 23:59:59.479904",69.605,69.760066287870643,66.43399999999998,1.8844557550695273,0.0,2851,3471,8948,42121,5382
"-1 day, 23:59:59.465863",69.737,69.74853393926395,70.66099999999993,1.8313308750769974,0.0,2851,3471,8948,42121,5382
"-1 day, 23:59:59.450543",69.817,69.782769071797816,70.37699999999998,1.8955675339517983,889535.52,2851,3471,8948,42121,5382
"-1 day, 23:59:59.436279",69.841,69.811885768672951,70.009,1.831373945379543,889535.52,2851,3472,8948,42121,5382
"-1 day, 23:59:59.422289",69.739,69.77544496573141,69.02500000000008,2.0916750589808566,889535.52,2851,3472,8948,42121,5382
"-1 day, 23:59:59.408126",69.757,69.766222409206222,69.88300000000001,1.9410950604560171,889535.52,2851,3472,8948,42121,5382
"-1 day, 23:59:59.393963",69.784,69.775111332441156,69.97300000000001,1.8920723042770031,889535.52,2851,3472,8948,42121,5382
"-1 day, 23:59:59.380017",70.197,69.986120759865287,73.08799999999998,1.9723492552519846,889535.52,2851,3472,8948,42121,5382
"-1 day, 23:59:59.365714",70.108,70.0470653303299,69.48500000000001,2.076716398785758,889535.52,2851,3473,8948,42121,5382
"-1 day, 23:59:59.351610",70.25,70.148546430253262,71.24399999999997,1.9889618800625761,889535.52,2851,3473,8948,42121,5382
"-1 day, 23:59:59.337891",70.314,70.231282933635782,70.76199999999994,1.8208669596947569,889535.52,2851,3473,8948,42121,5382
"-1 day, 23:59:59.323632",70.263,70.247142466680373,69.90600000000009,1.525642155286286,889535.52,2851,3473,8948,42121,5382
"-1 day, 23:59:59.307969",70.27,70.258572253691085,70.31899999999993,1.5126105087802058,0.0,2851,3473,8948,42121,5382
"-1 day, 23:59:59.294021",70.122,70.190294549049909,69.08600000000003,1.3666517136650655,0.0,2851,3474,8948,42121,5382
"-1 day, 23:59:59.280119",69.848,70.019203426755382,67.92999999999999,1.2876483766640505,0.0,2851,3474,8948,42121,5382
"-1 day, 23:59:59.265758",69.91,69.96461012882115,70.34399999999998,1.3216726235024367,0.0,2851,3474,8948,42121,5382
"-1 day, 23:59:59.251613",70.01,69.987306643166775,70.71000000000006,1.449106690517787,0.0,2851,3475,8948,42121,5382
"-1 day, 23:59:59.236781",69.971,69.979153093439606,69.698,1.6828388235399923,0.0,2851,3475,8948,42121,5382
"-1 day, 23:59:59.223131",69.692,69.835613874229111,67.73899999999992,1.8059636073531344,0.0,2851,3476,8948,42121,5382
"-1 day, 23:59:59.208528",70.118,69.976838853986791,73.10000000000001,1.7390999973933792,0.0,2851,3476,8948,42121,5382
"-1 day, 23:59:59.194556",69.768,69.872436957477703,67.31800000000004,1.7357664083557294,0.0,2851,3476,8948,42121,5382
"-1 day, 23:59:59.180232",70.307,70.089795706158469,74.08000000000001,1.8458171782648465,0.0,2851,3477,8948,42121,5382
"-1 day, 23:59:59.164859",70.247,70.168405841582796,69.82699999999998,1.98073356167357,880373.232,2851,3477,8948,42121,5382
"-1 day, 23:59:59.150880",70.28,70.224206032950775,70.51100000000001,1.7235366212031551,880373.232,2851,3478,8948,42121,5382
"-1 day, 23:59:59.136938",69.884,70.054149004975258,67.112,1.7087892150829009,880373.232,2851,3478,8948,42121,5382
"-1 day, 23:59:59.122619",69.845,69.949592935179524,69.57199999999999,1.2682037853075117,880373.232,2851,3479,8948,42121,5382
"-1 day, 23:59:59.108212",69.9,69.924801692814199,70.28500000000005,1.3663520051879503,880373.232,2851,3480,8948,42121,5382
"-1 day, 23:59:59.093575",69.797,69.860909659564953,69.07599999999994,1.5212087722204017,880373.232,2851,3480,8948,42121,5382
"-1 day, 23:59:59.079347",69.876,69.868454602937206,70.42900000000006,1.8271421546771591,880373.232,2851,3481,8948,42121,5382
"-1 day, 23:59:59.064869",69.902,69.885227158657386,70.08399999999997,1.8618134598861222,880373.232,2851,3481,8948,42121,5382
"-1 day, 23:59:59.050428",69.771,69.828118644030454,68.854,1.8405161599385951,880373.232,2851,3482,8948,42121,5382
"-1 day, 23:59:59.036275",69.789,69.80855982889841,69.915,1.8645161570078101,880373.232,2851,3483,8948,42121,5382
"-1 day, 23:59:59.020775",69.791,69.799779992407267,69.80499999999996,1.8169794001223183,877703.904,2851,3484,8948,42121,5382
"-1 day, 23:59:59.006511",69.787,69.793390064124779,69.75900000000007,1.8534257665050198,877703.904,2851,3485,8948,42121,5382
"-1 day, 23:59:58.992490",69.635,69.714204640333662,68.571,1.9244919951918709,877703.904,2851,3485,8948,42121,5382
"-1 day, 23:59:58.978284",70.031,69.872639761551227,72.80300000000001,1.9416487820722248,877703.904,2851,3486,8948,42121,5382
"-1 day, 23:59:58.963888",69.806,69.839321176567054,68.23099999999994,1.9877131731081035,877703.904,2851,3487,8948,42121,5382
"-1 day, 23:59:58.949998",69.826,69.832660427110568,69.96599999999997,1.9689328913380684,877703.904,2851,3488,8948,42121,5382
"-1 day, 23:59:58.935698",69.862,69.847330494472516,70.114,1.9487557017656367,877703.904,2851,3489,8948,42121,5382
"-1 day, 23:59:58.921573",69.656,69.751678437755061,68.21400000000008,1.7259182555292498,877703.904,2851,3490,8948,42121,5382
"-1 day, 23:59:58.907112",69.718,69.734840165435344,70.15199999999999,1.8636373832724955,877703.904,2851,3491,8948,42121,5382
"-1 day, 23:59:58.892937",69.843,69.788924503431403,70.718,1.8895965632235141,877703.904,2851,3492,8948,42121,5382
"-1 day, 23:59:58.877345",69.895,69.841966441676718,70.25899999999994,1.9674696233999567,0.0,2851,3493,8948,42121,5382
"-1 day, 23:59:58.862982",69.725,69.783488128214685,68.53499999999998,2.0598412195217191,0.0,2851,3494,8948,42121,5382
"-1 day, 23:59:58.848814",69.821,69.80224439403645,70.49300000000002,1.9386726060990289,0.0,2851,3495,8948,42121,5382
"-1 day, 23:59:58.834428",69.754,69.778123063681008,69.28500000000005,1.8519029899173396,0.0,2851,3496,8948,42121,5382
"-1 day, 23:59:58.820108",69.788,69.783061618127419,70.02599999999994,1.8696944756921576,0.0,2851,3497,8948,42121,5382
"-1 day, 23:59:58.805886",69.751,69.767031201460654,69.49200000000006,1.9655836807693032,0.0,2851,3498,8948,42121,5382
"-1 day, 23:59:58.791767",69.778,69.772515631710391,69.96700000000001,1.9164260839583516,0.0,2851,3499,8948,42121,5382
"-1 day, 23:59:58.777867",69.821,69.796758677803766,70.12199999999994,1.9666473085892711,0.0,2851,3500,8948,42121,5382
"-1 day, 23:59:58.763703",69.747,69.771880228034846,69.22900000000001,1.9492014387118126,0.0,2851,3501,8948,42121,5382
"-1 day, 23:59:58.749208",69.878,69.824944183685375,70.795,1.9652367450912387,0.0,2851,3502,8948,42121,5382
"-1 day, 23:59:58.733782",69.773,69.798973050931124,69.03799999999997,1.9404961303198804,904974.336,2851,3504,8948,42121,5382
"-1 day, 23:59:58.719678",70.125,69.962024924985286,72.58900000000003,1.9510255259346896,904974.336,2851,3505,8948,42121,5382
"-1 day, 23:59:58.705637",70.152,70.057025469515665,70.34100000000001,2.0117522621153601,904974.336,2851,3506,8948,42121,5382
"-1 day, 23:59:58.691324",70.247,70.152025282801034,70.91199999999999,1.9167204732867011,904974.336,2851,3507,8948,42121,5382
