end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:59.998218",69.425,69.524999999999991,69.425,0.1,579.688,-1,16,8948,34977,5383
"-1 day, 23:59:59.982679",69.425,138.90000000000001,69.425,0.1,579.688,-1,16,8948,34977,5383
"-1 day, 23:59:59.966504",69.425,173.58749999999998,69.425,0.1,579.688,-1,16,8948,34977,5383
"-1 day, 23:59:59.951011",69.425,225.15653574094964,69.425,34.35,579.688,-1,16,8948,34977,5383
"-1 day, 23:59:59.935106",70.224,187.53329987738437,75.81700000000005,0.1,579.688,-1,20,8948,34977,5383
"-1 day, 23:59:59.919030",72.256,130.09205243749952,86.47999999999998,0.1,579.688,-1,26,8948,34977,5383
"-1 day, 23:59:59.903392",73.19,101.80099471170134,79.72799999999998,0.1,579.688,-1,32,8948,34977,5383
"-1 day, 23:59:59.887334",73.19,88.219036570640768,73.19,0.1,579.688,-1,32,8948,34977,5383
"-1 day, 23:59:59.869698",72.344,85.146349407186108,66.42199999999997,3.7856973388259223,0.0,-1,34,8948,34977,5383
"-1 day, 23:59:59.853524",72.604,77.489105258241707,74.42400000000004,0.1,0.0,-1,44,8948,34977,5383
"-1 day, 23:59:59.837569",72.344,75.554016355620817,70.52399999999996,0.26294243206351531,0.0,-1,56,8948,34977,5383
"-1 day, 23:59:59.821754",72.07,74.907043676209582,70.15199999999999,1.8060168492014022,0.0,-1,64,8948,34977,5383
"-1 day, 23:59:59.805493",72.07,72.968916750261897,72.07,1.7425537354177176,0.0,-1,64,8948,34977,5383
"-1 day, 23:59:59.789868",71.2,72.02611738348314,65.11000000000007,1.5269817619585708,0.0,-1,78,8948,34977,5383
"-1 day, 23:59:59.774230",71.182,71.60412451861643,71.056,1.7353984540473331,0.0,-1,98,8948,34977,5383
"-1 day, 23:59:59.758385",70.976,71.284524401957214,69.53399999999998,2.0481317224192916,0.0,-1,120,8948,34977,5383
"-1 day, 23:59:59.742652",70.83,71.052625780176314,69.80799999999999,2.3926343323584525,0.0,-1,128,8948,34977,5383
"-1 day, 23:59:59.726721",70.161,70.60467581742131,65.47800000000002,2.977504219235608,0.0,-1,142,8948,34977,5383
"-1 day, 23:59:59.708281",70.08,70.341033553313565,69.51299999999998,3.0067642898861751,7502.976,-1,184,8948,34977,5383
"-1 day, 23:59:59.692492",69.941,70.140773070562176,68.96800000000003,3.3038760564404659,7502.976,-1,228,8948,34977,5383
"-1 day, 23:59:59.676287",70.098,70.119248443382588,71.19699999999997,3.7301633790832387,7502.976,-1,256,8948,34977,5383
"-1 day, 23:59:59.660417",69.971,70.045054384488083,69.08200000000004,4.2951759696883594,7502.976,-1,272,8948,34977,5383
"-1 day, 23:59:59.644624",69.833,69.938996140893494,68.86699999999996,4.3575687116067199,7502.976,-1,338,8948,34977,5383
"-1 day, 23:59:59.628866",69.781,69.859992791598046,69.41700000000006,4.3863413073510991,7502.976,-1,420,8948,34977,5383
"-1 day, 23:59:59.613041",69.686,69.772998818579211,69.02100000000002,4.3268996206533359,7502.976,-1,512,8948,34977,5383
"-1 day, 23:59:59.597120",69.686,69.729500246085621,69.686,4.4796999408099705,7502.976,-1,512,8948,34977,5383
"-1 day, 23:59:59.581512",70.087,69.9082695631745,72.89399999999998,4.6774359010614983,7502.976,-1,615,8948,34977,5383
